ISO_WEEKSTARTDATE,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,WHOREGION,ITZ,HEMISPHERE,ISO_YEAR,ISO_WEEK,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,source_row_count,has_sentinel,has_nonsentinel,has_notdefined,origin_sources,is_reported_week,positivity_rate,A_rate,B_rate,log_spec_processed,era_2020plus,era_2023plus,era_2024plus
2019-12-30,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,1,41.0,41.0,6.0,,4.0,,,,,,10.0,,,,,,1.0,1.0,11.0,30.0,,,,,,1.0,2.0,,5.0,,1,1,0,0,SENTINEL,1,0.2682926829268293,0.24390243902439024,0.024390243902439025,3.7376696182833684,0,0,0
2020-01-06,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,2,63.0,63.0,9.0,,5.0,,,,,,14.0,,,2.0,,,1.0,3.0,17.0,46.0,,,,,,,2.0,,5.0,,1,1,0,0,SENTINEL,1,0.2698412698412698,0.2222222222222222,0.047619047619047616,4.1588830833596715,1,0,0
2020-01-13,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,3,75.0,75.0,10.0,,4.0,,,,,,14.0,,,1.0,,,5.0,6.0,20.0,55.0,,,,,,1.0,1.0,,9.0,,1,1,0,0,SENTINEL,1,0.26666666666666666,0.18666666666666668,0.08,4.330733340286331,1,0,0
2020-01-20,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,4,93.0,93.0,8.0,,2.0,,,,,,10.0,,,,,,1.0,1.0,11.0,,,,,,,,,,4.0,,1,1,0,0,SENTINEL,1,0.11827956989247312,0.10752688172043011,0.010752688172043012,4.543294782270004,1,0,0
2020-01-27,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,5,190.0,190.0,13.0,,3.0,,,,,,16.0,,,,,,12.0,12.0,28.0,162.0,,,,1.0,,,4.0,,5.0,,1,1,0,0,SENTINEL,1,0.14736842105263157,0.08421052631578947,0.06315789473684211,5.25227342804663,1,0,0
2020-02-03,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,6,144.0,144.0,10.0,,2.0,,,,,,12.0,,,,,,11.0,11.0,23.0,121.0,,,,,,1.0,2.0,,3.0,,1,1,0,0,SENTINEL,1,0.1597222222222222,0.08333333333333333,0.0763888888888889,4.976733742420574,1,0,0
2020-02-10,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,7,207.0,207.0,11.0,,3.0,,,,,,14.0,,,,,,7.0,7.0,21.0,186.0,,,1.0,,,1.0,4.0,,2.0,,1,1,0,0,SENTINEL,1,0.10144927536231885,0.06763285024154589,0.033816425120772944,5.337538079701318,1,0,0
2020-02-17,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,8,119.0,119.0,7.0,,3.0,,,,,,10.0,,,,,,9.0,9.0,19.0,100.0,,,,1.0,1.0,,2.0,,3.0,1.0,1,1,0,0,SENTINEL,1,0.15966386554621848,0.08403361344537816,0.07563025210084033,4.787491742782046,1,0,0
2020-02-24,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,9,114.0,114.0,3.0,,0.0,,,,,,3.0,,,,,,12.0,12.0,15.0,99.0,,,2.0,,,,3.0,,2.0,,1,1,0,0,SENTINEL,1,0.13157894736842105,0.02631578947368421,0.10526315789473684,4.74493212836325,1,0,0
2020-03-02,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,10,84.0,85.0,2.0,,0.0,,,,,,2.0,,,4.0,,0.0,,4.0,6.0,78.0,,,,,,,,,2.0,,1,1,0,0,SENTINEL,1,0.07142857142857142,0.023809523809523808,0.047619047619047616,4.442651256490317,1,0,0
