scenario,task,target,model,artifact
joint_uae_malaysia,regression,target_next_INF_A,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_A_elastic_net.joblib
joint_uae_malaysia,regression,target_next_INF_A,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_A_random_forest.joblib
joint_uae_malaysia,regression,target_next_INF_A,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_A_xgboost.joblib
joint_uae_malaysia,regression,target_next_INF_A,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_A_lightgbm.joblib
joint_uae_malaysia,regression,target_next_INF_B,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_B_elastic_net.joblib
joint_uae_malaysia,regression,target_next_INF_B,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_B_random_forest.joblib
joint_uae_malaysia,regression,target_next_INF_B,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_B_xgboost.joblib
joint_uae_malaysia,regression,target_next_INF_B,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_B_lightgbm.joblib
joint_uae_malaysia,regression,target_next_INF_ALL,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_ALL_elastic_net.joblib
joint_uae_malaysia,regression,target_next_INF_ALL,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_ALL_random_forest.joblib
joint_uae_malaysia,regression,target_next_INF_ALL,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_ALL_xgboost.joblib
joint_uae_malaysia,regression,target_next_INF_ALL,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_INF_ALL_lightgbm.joblib
joint_uae_malaysia,regression,target_next_positivity_rate,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_positivity_rate_elastic_net.joblib
joint_uae_malaysia,regression,target_next_positivity_rate,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_positivity_rate_random_forest.joblib
joint_uae_malaysia,regression,target_next_positivity_rate,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_positivity_rate_xgboost.joblib
joint_uae_malaysia,regression,target_next_positivity_rate,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_positivity_rate_lightgbm.joblib
joint_uae_malaysia,regression,target_next_A_rate,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_A_rate_elastic_net.joblib
joint_uae_malaysia,regression,target_next_A_rate,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\joint_uae_malaysia_regression_target_next_A_rate_random_forest.joblib
