scenario,task,target,model,n,mae,rmse,mape,smape,r2,spearman,prediction_interval_95_coverage,prediction_interval_80_coverage,accuracy,balanced_accuracy,macro_f1,precision_decrease,recall_decrease,f1_decrease,support_decrease,precision_increase,recall_increase,f1_increase,support_increase,precision_stable,recall_stable,f1_stable,support_stable,roc_auc_ovr_macro,pr_auc_ovr_macro,precision_A,recall_A,f1_A,support_A,precision_B,recall_B,f1_B,support_B,precision_both,recall_both,f1_both,support_both,precision_uncertain,recall_uncertain,f1_uncertain,support_uncertain,precision_not_increase,recall_not_increase,f1_not_increase,support_not_increase,roc_auc,pr_auc
joint_uae_malaysia,classification,target_increase_binary,random_forest,301,,,,,,,,,0.5448504983388704,0.5339381720430108,0.5188270848648207,,,,,0.3405797101449275,0.5053763440860215,0.4069264069264069,93.0,,,,,,,,,,,,,,,,,,,,,,,0.7177914110429447,0.5625,0.6307277628032345,208.0,0.5713399503722085,0.4229612662060044
joint_uae_malaysia,classification,target_subtype_driver,random_forest,372,,,,,,,,,0.478494623655914,0.3598416965352449,0.333278608254846,,,,,,,,,,,,,0.6614805715532722,0.3911353834162263,0.3761467889908257,0.7592592592592593,0.5030674846625767,108.0,0.2857142857142857,0.25,0.2666666666666666,64.0,0.0,0.0,0.0,14.0,0.8163265306122449,0.4301075268817204,0.5633802816901409,186.0,,,,,,
joint_uae_malaysia,classification,target_trend,lightgbm,301,,,,,,,,,0.3953488372093023,0.3979515618534819,0.3892077693111745,0.4214876033057851,0.5543478260869565,0.4788732394366197,92.0,0.3846153846153846,0.2688172043010752,0.3164556962025316,93.0,0.3739130434782609,0.3706896551724138,0.3722943722943723,116.0,0.5673663053804159,0.3982888933244397,,,,,,,,,,,,,,,,,,,,,,
joint_uae_malaysia,regression,target_next_A_rate,lightgbm,372,0.0204526547390478,0.0298803870417032,0.5509988031118611,0.6243310527717899,0.8548141075817405,0.9356831066684338,0.9731182795698924,0.9086021505376344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_uae_malaysia,regression,target_next_B_rate,moving_average,372,0.0102043794098132,0.020381020674567,0.5953030220972719,0.5388012936967091,0.8085535005562944,0.9236082452685038,0.956989247311828,0.9408602150537636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_uae_malaysia,regression,target_next_INF_A,random_forest,372,26.316559669856076,52.87473421238536,0.5239564526208562,0.6426839249359598,0.7127558246985515,0.9488728763841964,0.5806451612903226,0.4677419354838709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_uae_malaysia,regression,target_next_INF_ALL,elastic_net,308,35.15016739938131,55.24066530771702,0.5700862662194136,0.368819429349742,0.7235239016693489,0.8727236063862174,0.7467532467532467,0.5616883116883117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_uae_malaysia,regression,target_next_INF_B,elastic_net,372,9.96958761140352,18.04892761228237,1.13626443025838,0.8530504934349084,0.8402865433648492,0.9116624645836072,0.6182795698924731,0.5053763440860215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_uae_malaysia,regression,target_next_positivity_rate,random_forest,308,0.0274950511435282,0.0359342661350807,0.4144107983890129,0.2708689886211774,0.8031437855057822,0.9117957234358652,0.935064935064935,0.8116883116883117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_increase_binary,lightgbm,235,,,,,,,,,0.6808510638297872,0.5005455766325332,0.4175671656587687,,,,,0.3333333333333333,0.0135135135135135,0.0259740259740259,74.0,,,,,,,,,,,,,,,,,,,,,,,0.6853448275862069,0.9875776397515528,0.8091603053435115,161.0,0.5522914218566393,0.3846558302319404
