scenario,task,target,model,COUNTRY_CODE,latest_observed_week,forecast_week,prediction,lower_95,upper_95,lower_80,upper_80,prob_decrease,prob_increase,prob_stable,prob_not_increase
uae_only,regression,target_next_INF_A,sarimax,ARE,2026-05-11,2026-05-18,199.13941031601436,128.5257452091762,269.75307542285253,153.02436371563027,245.25445691639845,,,,
uae_only,regression,target_next_INF_A,prophet,ARE,2026-05-11,2026-05-18,197.50223065560803,125.07646868904502,269.927992622171,150.2037738611179,244.80068745009817,,,,
uae_only,regression,target_next_INF_A,elastic_net,ARE,2026-05-11,2026-05-18,55.79077943578263,0.6157101329766874,110.96584873858858,19.758081115582826,91.82347775598244,,,,
uae_only,regression,target_next_INF_A,random_forest,ARE,2026-05-11,2026-05-18,31.288777056277056,-3.1384853868131586,65.71603949936727,8.805666889360996,53.77188722319312,,,,
uae_only,regression,target_next_INF_A,xgboost,ARE,2026-05-11,2026-05-18,28.473566,14.795845985412598,42.15128707885742,19.541175842285156,37.40595626831055,,,,
uae_only,regression,target_next_INF_A,lightgbm,ARE,2026-05-11,2026-05-18,44.4736902490159,8.255873403885872,80.69150709414593,20.821238431788128,68.12614206624367,,,,
uae_only,regression,target_next_INF_B,sarimax,ARE,2026-05-11,2026-05-18,110.7254471209339,86.95658943464494,134.49430480722285,95.20292781560234,126.24796642626545,,,,
uae_only,regression,target_next_INF_B,prophet,ARE,2026-05-11,2026-05-18,67.01289697357907,22.850786728823827,111.17500721833431,38.172335181085856,95.8534587660723,,,,
uae_only,regression,target_next_INF_B,elastic_net,ARE,2026-05-11,2026-05-18,14.696885250180543,-1.7005812930366737,31.09435179339776,3.988335670936646,25.40543482942444,,,,
uae_only,regression,target_next_INF_B,random_forest,ARE,2026-05-11,2026-05-18,8.770860750360752,-1.2331661559127003,18.774887656634206,2.2376186891209455,15.304102811600558,,,,
uae_only,regression,target_next_INF_B,xgboost,ARE,2026-05-11,2026-05-18,11.018329,6.1814656257629395,15.855192184448242,7.859560966491699,14.177096366882324,,,,
uae_only,regression,target_next_INF_B,lightgbm,ARE,2026-05-11,2026-05-18,15.254481522297137,5.2496332257485765,25.2593298188457,8.720703042918485,21.788260001675788,,,,
uae_only,regression,target_next_INF_ALL,sarimax,ARE,2026-05-11,2026-05-18,301.62043168660307,212.62871553744986,390.6121478357563,243.50339256878874,359.7374708044174,,,,
uae_only,regression,target_next_INF_ALL,prophet,ARE,2026-05-11,2026-05-18,232.28135158533001,154.07547272221285,310.4872304484472,181.2081245726821,283.35457859797793,,,,
uae_only,regression,target_next_INF_ALL,elastic_net,ARE,2026-05-11,2026-05-18,79.41747775271025,5.579766698806267,153.25518880661423,31.196931758323977,127.63802374709653,,,,
uae_only,regression,target_next_INF_ALL,random_forest,ARE,2026-05-11,2026-05-18,39.63231281803724,-7.896237676722045,87.16086331279652,8.593259433704645,70.67136620236984,,,,
uae_only,regression,target_next_INF_ALL,xgboost,ARE,2026-05-11,2026-05-18,44.068516,24.455684661865234,63.68134689331055,31.260135650634766,56.876895904541016,,,,
uae_only,regression,target_next_INF_ALL,lightgbm,ARE,2026-05-11,2026-05-18,65.3887120360465,19.32286988304722,111.45455418904578,35.304896752455136,95.47252731963786,,,,
uae_only,regression,target_next_positivity_rate,sarimax,ARE,2026-05-11,2026-05-18,0.2254147497631554,0.18771799771782183,0.26311150180848897,0.20079646271314164,0.25003303681316913,,,,
uae_only,regression,target_next_positivity_rate,prophet,ARE,2026-05-11,2026-05-18,0.0818403372764067,0.018209812080366608,0.14547086247244678,0.04028570857695195,0.12339496597586146,,,,
