iteration,train,valid,metric
1,59.66501376229295,144.36049335346087,rmse
2,57.122778978894466,139.9829262070397,rmse
3,54.72822577001636,134.56276798610543,rmse
4,52.38897295556101,130.51888833290167,rmse
5,50.16119321758502,126.5163938368259,rmse
6,48.06581783821315,122.09865578031247,rmse
7,46.1009005137061,117.83869528175863,rmse
8,44.29921779992955,115.1167734989975,rmse
9,42.52520937873363,111.75093302192087,rmse
10,40.85331001168766,108.11618567946704,rmse
11,39.26579846241468,106.43595846451723,rmse
12,37.818805920536406,103.89088544731916,rmse
13,36.359309019873976,101.51370659517846,rmse
14,34.95877467566357,98.86507854913697,rmse
15,33.59907061589604,97.2503011289523,rmse
16,32.32622490859228,95.66427792406537,rmse
17,31.170028479390496,93.39687246038832,rmse
18,30.053622779948128,90.83212059723299,rmse
19,28.966890347151153,89.38895374366707,rmse
20,27.98729757308231,86.97664758000172,rmse
21,26.970060662846794,85.03309952133544,rmse
22,26.184034866932326,83.73980762084257,rmse
23,25.32052616277532,82.06949466756596,rmse
24,24.427776561482794,81.6083034818697,rmse
25,23.604252589907745,80.12091221004307,rmse
26,22.80683439151459,78.82493978017705,rmse
27,22.111543410112922,77.94476870456326,rmse
28,21.505036297988344,77.07451458147732,rmse
29,20.774976547253384,76.36965979904681,rmse
30,20.115115790204747,75.36593609560252,rmse
31,19.42624128423915,74.79485991311081,rmse
32,18.843790261571005,74.31134555135226,rmse
33,18.267002215224384,73.4210328380488,rmse
34,17.761306031495952,72.81002417472877,rmse
35,17.306270343702074,72.38695914630543,rmse
36,16.805915836138464,72.05504928830999,rmse
37,16.439485736191305,71.81785507939055,rmse
38,16.062791712279296,71.61553233643625,rmse
39,15.641624773816313,71.22720229651361,rmse
40,15.217585477861379,71.09466119275864,rmse
41,14.859920809287912,70.75111183084921,rmse
42,14.455361338160435,70.56277014743671,rmse
43,14.151588331441816,70.35330375992254,rmse
44,13.800796532283801,70.30884173811306,rmse
45,13.461432574398605,70.15204503143413,rmse
46,13.114702542807391,69.89969112821086,rmse
47,12.823272773638951,69.84827156979985,rmse
48,12.580516762805281,69.50123238549838,rmse
49,12.420311063992836,69.52454094750794,rmse
50,12.158488387882423,69.4184493584774,rmse
51,11.922591927381601,69.10956393153447,rmse
52,11.687627151763564,68.93571312565562,rmse
53,11.512915410870637,68.8040936681239,rmse
54,11.2709307443007,68.33576236239237,rmse
55,11.086325812230628,68.28617986832289,rmse
56,10.857992836457397,68.28397929314592,rmse
57,10.6916918208541,68.1691569204275,rmse
58,10.516586426166512,68.20728026224805,rmse
59,10.384743164632596,68.33226137655106,rmse
60,10.209908714757796,68.26760901246378,rmse
61,10.088971719044313,68.29953511367574,rmse
62,9.990328188252317,68.18006870821543,rmse
63,9.859716996737383,68.26349598064724,rmse
64,9.784802008825228,68.07642958362625,rmse
65,9.68150782596939,68.0116259685388,rmse
66,9.547309217730062,67.78778863724764,rmse
67,9.470019439611292,67.665447413995,rmse
68,9.376380290281675,67.67622156546936,rmse
69,9.278838473578057,67.64889475169824,rmse
70,9.17286916885477,67.50410289442905,rmse
71,9.070949098396202,67.53679528532139,rmse
72,9.003792280640926,67.41722172156211,rmse
73,8.908856515796028,67.32022747437868,rmse
74,8.82476604158192,67.17994590657236,rmse
75,8.732770294432903,67.16677942153756,rmse
76,8.658910895569948,67.04671606305487,rmse
77,8.58872683177799,67.00186228950413,rmse
78,8.493296855640443,66.9427244301256,rmse
79,8.451355295989407,66.97048571708687,rmse
80,8.37007906297408,66.94289755224585,rmse
81,8.319277429788732,66.91368514503033,rmse
82,8.256149367010472,66.91598837310885,rmse
83,8.199806806587848,66.8611236677334,rmse
84,8.134497385873509,66.88183852460647,rmse
85,8.103395620536581,66.84370163966987,rmse
86,8.051195333439521,66.79141467774363,rmse
87,7.946499418911931,66.89795510121263,rmse
88,7.898919638467184,66.82236230407939,rmse
89,7.838488521044599,66.87998179540575,rmse
90,7.7944754081530085,66.88803821033655,rmse
91,7.748488913906346,66.83852597801453,rmse
92,7.705117032937305,66.80482609643725,rmse
93,7.684964086449342,66.74190958382034,rmse
94,7.651693474717886,66.73416852925209,rmse
95,7.604106530154406,66.6846355930202,rmse
96,7.533688310050232,66.65178655119259,rmse
97,7.496858353167495,66.58941037614365,rmse
98,7.460795276981577,66.55339584739409,rmse
99,7.4265277032467765,66.50811216918832,rmse
100,7.370452187437427,66.4923939210425,rmse
