iteration,train,valid,metric
1,180.83608916827612,22367.744140625,mse
2,170.46832506997245,22219.330078125,mse
3,162.7983376866295,22091.111328125,mse
4,157.25431604612442,21999.900390625,mse
5,151.3530430084183,21941.13671875,mse
6,144.2843531029565,21872.59765625,mse
7,136.64794077759697,21804.763671875,mse
8,129.26710727668944,21737.193359375,mse
9,124.3634234241077,21675.2109375,mse
10,120.67904594398681,21607.23828125,mse
11,116.75235197373799,21547.04296875,mse
12,114.53957623527164,21527.70703125,mse
13,110.76568923677716,21458.87890625,mse
14,109.42772442953927,21418.734375,mse
15,106.2911509388969,21421.474609375,mse
16,105.02117663905734,21355.6484375,mse
17,102.17001164527167,21318.134765625,mse
18,100.83437081036114,21269.345703125,mse
19,99.30187825503803,21242.109375,mse
20,97.23060596273059,21206.791015625,mse
21,96.3339752915005,21253.673828125,mse
22,93.23751314481099,21201.796875,mse
23,93.23395458573387,21160.796875,mse
24,91.36902766745715,21334.955078125,mse
25,89.6834623175008,21228.521484375,mse
26,86.69286649000077,21117.267578125,mse
27,87.18884068230788,21331.4296875,mse
28,86.3491790266264,21079.087890625,mse
29,84.32232034774054,21420.873046875,mse
30,84.99918394997006,21065.1484375,mse
31,82.12503667388644,21449.658203125,mse
32,79.94234312715984,21035.962890625,mse
33,79.04347033727737,21298.435546875,mse
34,78.47990647384098,21033.96484375,mse
35,78.48364731811341,21187.546875,mse
36,77.41636850152697,21071.3046875,mse
37,75.98297053207422,21132.59375,mse
38,75.35827892167228,20970.7265625,mse
39,73.71551101087104,21122.662109375,mse
40,72.43014176402774,20948.185546875,mse
41,71.41840437480381,21057.181640625,mse
42,71.75962390218463,20859.076171875,mse
43,70.17449431192307,21026.453125,mse
44,68.77037025633312,20854.7578125,mse
45,69.51964572781608,20934.189453125,mse
46,67.58690827801114,20858.32421875,mse
47,67.65391723598752,20860.591796875,mse
48,65.48594178756078,20950.359375,mse
49,66.5570182289396,20769.091796875,mse
50,67.02775622407596,21026.408203125,mse
51,65.14898659217926,20688.306640625,mse
52,64.98500925018674,21092.416015625,mse
53,65.95123505592346,20793.767578125,mse
54,64.39700334980374,21104.98828125,mse
55,64.80013092075076,20735.966796875,mse
56,60.94297976967036,21124.400390625,mse
57,62.01952616018908,20636.095703125,mse
58,64.97564272653489,21110.42578125,mse
59,61.63945552280971,20595.373046875,mse
60,61.925008035841444,21033.076171875,mse
61,60.2504004410335,20778.646484375,mse
62,57.3328226407369,20828.728515625,mse
63,56.477809051672615,20751.755859375,mse
64,58.083913031078524,20754.171875,mse
65,57.43069413020497,20696.921875,mse
66,55.145213044825056,20640.986328125,mse
67,56.16227292446863,20690.26953125,mse
68,54.007329886867886,20686.525390625,mse
69,54.18720163050152,20867.244140625,mse
