iteration,train,valid,metric
1,177.89573583148774,22287.71484375,mse
2,171.48962816737946,22179.611328125,mse
3,166.1639778287638,22061.505859375,mse
4,159.88495095570883,21960.283203125,mse
5,152.5095242276078,21851.765625,mse
6,144.07300708052657,21714.412109375,mse
7,133.86094226723625,21591.30859375,mse
8,125.33185850154786,21502.8671875,mse
9,119.57574612611816,21454.4765625,mse
10,114.23982157877514,21468.095703125,mse
11,109.74693155004864,21421.494140625,mse
12,107.22519381841023,21380.1796875,mse
13,104.46619493620736,21375.76171875,mse
14,101.84973307450612,21329.974609375,mse
15,100.4909280467601,21214.734375,mse
16,97.60054865195637,21188.88671875,mse
17,97.1643505621524,21250.94140625,mse
18,95.30416835915474,21224.1953125,mse
19,94.76699503688585,21371.283203125,mse
20,93.13286511245228,21282.017578125,mse
21,91.60067152693158,21106.892578125,mse
22,90.19521015030998,21285.16015625,mse
23,88.24949554176558,21263.396484375,mse
24,86.78786071709224,21273.017578125,mse
25,84.95467895553226,21425.671875,mse
26,85.039594995124,21161.166015625,mse
27,85.41435016053063,21754.62109375,mse
28,84.76869236287617,21228.6953125,mse
29,81.10534098318645,21563.57421875,mse
30,81.6260685083412,21355.984375,mse
31,78.48259471356869,21384.28125,mse
