iteration,train,valid,metric
1,165.0880104814257,18006.013671875,mse
2,123.31514567420597,8020.4677734375,mse
3,93.57853317828406,6541.6884765625,mse
4,79.72289735362644,6712.7197265625,mse
5,71.66606870719365,7025.69921875,mse
6,65.88777043989727,7274.1435546875,mse
7,61.58935059536071,8180.02294921875,mse
8,59.73053824901581,9567.7021484375,mse
9,57.078528131757466,10531.9736328125,mse
10,55.47513637088594,12908.1845703125,mse
11,57.82604107970283,16313.7099609375,mse
12,60.81054514007909,16710.720703125,mse
13,64.52310778981163,18881.251953125,mse
