iteration,train,valid,metric
1,10.681407294982854,138.4023078888455,rmse
2,10.35876160620922,137.37865518401836,rmse
3,10.080156398417245,135.68525948731732,rmse
4,9.794859324594967,134.4823533775376,rmse
5,9.48908138672586,133.1333040762501,rmse
6,9.220765325280848,132.33942496899604,rmse
7,8.977003001683347,131.67604194077046,rmse
8,8.768358618406115,130.9906192429256,rmse
9,8.519684178744253,129.73613360414834,rmse
10,8.292406444178207,128.835084043163,rmse
11,8.083759001907278,128.35223494241174,rmse
12,7.859621653360956,127.82755247248,rmse
13,7.66185207716609,127.10884232328011,rmse
14,7.488202117777516,126.64648425109192,rmse
15,7.341344635465932,125.52468253872854,rmse
16,7.1680687652802675,124.60833842818197,rmse
17,7.01421487378062,124.15850432846901,rmse
18,6.879508373058184,123.72057187788388,rmse
19,6.750080197211138,123.38318364474493,rmse
20,6.616906391239281,122.9028473493611,rmse
21,6.4839324736369575,122.57935661567862,rmse
22,6.357769288070035,121.79832246646029,rmse
23,6.264710130790394,121.3922097559153,rmse
24,6.1549271295817,121.12689465293526,rmse
25,6.05451108947354,120.53933866381095,rmse
26,5.943093864595947,119.94858784986135,rmse
27,5.84691856293415,119.28230350095693,rmse
28,5.760695171729752,118.73725780450505,rmse
29,5.688883471533933,118.43312283013245,rmse
30,5.61611964916374,117.87744441353958,rmse
31,5.5481221898197886,117.42405725496222,rmse
32,5.486312783713963,117.1690258825338,rmse
33,5.423639643034708,117.04863288218348,rmse
34,5.361659094621976,116.66223152764402,rmse
35,5.299439900749269,116.37444380779618,rmse
36,5.248164279167989,116.32683028779782,rmse
37,5.196917155498312,116.13520788295106,rmse
38,5.150725288702837,115.82671749025484,rmse
39,5.109499506065055,115.50460932412892,rmse
40,5.065467973859696,115.30997007346983,rmse
41,5.026552428545744,115.16385397443932,rmse
42,4.982256945895863,115.14885439678568,rmse
43,4.936661639709168,115.29274585609343,rmse
44,4.897525626923634,114.94348038580533,rmse
45,4.85830887735637,114.82625369901102,rmse
46,4.821465193594988,114.76007083649851,rmse
47,4.789032701719081,114.44436306206072,rmse
48,4.758680358677077,114.40060762672736,rmse
49,4.726105044549723,114.30423264554639,rmse
50,4.679613108389245,114.14236325829266,rmse
51,4.648019269369418,113.97668325909072,rmse
52,4.603499010844616,113.8194307006232,rmse
53,4.573225131292587,113.63292008559841,rmse
54,4.547208512627458,113.3612814256422,rmse
55,4.521353012661434,113.11297325514423,rmse
56,4.499263355360994,112.86646542062688,rmse
57,4.465792993980672,112.72356030847892,rmse
58,4.44638173379295,112.57592567657423,rmse
59,4.427317088349487,112.54212327063995,rmse
60,4.403877295455214,112.43992675700767,rmse
61,4.385754248485685,112.38453112499349,rmse
62,4.354863229999637,112.31477860882065,rmse
63,4.335352863703068,112.28900961862914,rmse
64,4.308280334848473,112.19935644598111,rmse
65,4.2625366807004275,112.17074414157587,rmse
66,4.241362912193074,112.12680692665782,rmse
67,4.224507875164812,112.03877919248312,rmse
68,4.208739633588934,111.96564576712396,rmse
69,4.195374786209241,111.78926561358163,rmse
70,4.153711635534772,111.72045011460482,rmse
71,4.127890572550841,111.70537151107752,rmse
72,4.105438851644706,111.64296983142201,rmse
73,4.088717002436965,111.46971116194527,rmse
74,4.075651851688671,111.26554382575512,rmse
75,4.061620163253098,111.11664502164233,rmse
76,4.041832206536449,111.09017494308006,rmse
77,4.010784359568512,111.04894127696856,rmse
78,4.00048549914764,111.12114469793862,rmse
79,3.982948033984711,111.0596075701651,rmse
80,3.955163488734474,111.05359920020787,rmse
81,3.9341104793345325,111.11324708859114,rmse
82,3.9095449525770722,111.05566820145017,rmse
83,3.8760350267794093,111.05899495255171,rmse
84,3.8612322924962346,111.0505706386796,rmse
85,3.8466488619446912,111.01479952744674,rmse
86,3.8177258128865845,111.06745603149247,rmse
87,3.7938561046423036,111.03370640744002,rmse
88,3.7825665413223346,111.0275506222222,rmse
89,3.758449033410013,110.9964751410502,rmse
90,3.740838834782154,110.9941032904631,rmse
91,3.7219446926899926,111.05312092659308,rmse
92,3.704953048882333,111.11517488528078,rmse
93,3.6949001636943737,111.03636287886033,rmse
94,3.6766477424810082,111.10303579971466,rmse
95,3.659180352303895,111.13638260693945,rmse
96,3.64749026256373,110.97728445394206,rmse
97,3.6388253692683326,110.86281678927638,rmse
98,3.626827604069924,110.86764248760318,rmse
99,3.6167887407859785,110.83458451468246,rmse
100,3.5932435315466273,110.92165832066576,rmse
