iteration,train,valid,metric
1,66.56258573685143,10735.7919921875,mse
2,60.44829364886155,10617.8779296875,mse
3,57.3694516227052,10529.27734375,mse
4,54.71941892923535,10472.533203125,mse
5,52.58237639633385,10416.462890625,mse
6,50.53106994081188,10378.66796875,mse
7,49.17971972517065,10343.74609375,mse
8,48.15413473667325,10315.3154296875,mse
9,46.86063989916363,10285.8828125,mse
10,46.07532580599592,10264.4326171875,mse
11,44.59342334439626,10229.6904296875,mse
12,44.21816537106359,10201.646484375,mse
13,42.936481036044455,10177.9267578125,mse
14,41.957758434720944,10154.13671875,mse
15,41.80877319179677,10137.94921875,mse
16,41.44705369464449,10125.03515625,mse
17,40.461307015773414,10094.693359375,mse
18,39.282533099119725,10090.08203125,mse
19,39.485849938682605,10084.3359375,mse
20,38.57969326827977,10070.2802734375,mse
21,37.71238186311077,10063.8515625,mse
22,37.432517759300566,10058.9404296875,mse
23,36.8001817045985,10030.791015625,mse
24,36.98753493138262,10014.9833984375,mse
25,36.95741148413838,10019.9375,mse
26,36.242166037495075,9988.7080078125,mse
27,35.78956768802694,9942.90625,mse
28,34.7094144821167,9973.9052734375,mse
29,33.67185882378269,9960.5263671875,mse
30,34.17029185069574,9909.0546875,mse
31,33.4590088016278,9952.583984375,mse
32,33.34136283156034,9956.1953125,mse
33,32.915650470836745,9951.513671875,mse
34,32.11740344762802,9912.6025390625,mse
35,32.2938943054225,9966.15625,mse
36,31.698235004334837,9911.4912109375,mse
37,31.554639610084326,9980.98046875,mse
38,30.977963432266904,9906.220703125,mse
39,31.28592453292898,10020.3232421875,mse
40,31.153121754929828,9821.1279296875,mse
41,29.895647429131174,9949.126953125,mse
42,30.09042916265694,9910.8876953125,mse
43,29.072068584126395,9919.2490234375,mse
44,29.675882998350506,9848.5234375,mse
45,28.951843298770285,9864.486328125,mse
46,28.475425463270497,9929.6875,mse
47,28.15441881321572,9867.0751953125,mse
48,27.771547615528107,9914.193359375,mse
49,27.96993464714772,9820.306640625,mse
50,28.572933469269728,9777.767578125,mse
51,26.987905626361435,9990.0556640625,mse
52,27.888551718479878,9839.4609375,mse
53,27.337319602837432,9844.193359375,mse
54,26.960396578183044,9785.62109375,mse
55,24.808152978484696,9862.080078125,mse
56,24.75010448694229,9838.845703125,mse
57,25.344425752356244,9804.3779296875,mse
58,25.688617852894037,9771.2392578125,mse
59,24.77421888789615,9864.630859375,mse
60,24.705980299292385,9723.1220703125,mse
61,24.644017013343603,9823.349609375,mse
62,24.82420440783372,9714.4423828125,mse
63,24.329936663846713,9788.861328125,mse
64,23.868797838687897,9722.5361328125,mse
65,23.950519527937914,9737.484375,mse
66,23.754955981228804,9747.587890625,mse
67,23.349807049777056,9742.64453125,mse
68,22.785681788985794,9677.0419921875,mse
69,22.20610343765568,9725.93359375,mse
70,22.015084352042223,9759.533203125,mse
71,22.414378129952663,9641.638671875,mse
72,22.350103397627134,9697.541015625,mse
73,22.42584705836064,9748.76953125,mse
74,22.344993776566273,9699.1318359375,mse
75,21.519897648611582,9683.7490234375,mse
76,20.61057352697527,9689.7421875,mse
77,21.80197288377865,9783.1015625,mse
78,21.219436477970433,9641.740234375,mse
79,20.85340994274294,9606.1171875,mse
80,21.290652735813243,9869.35546875,mse
81,21.88638956965627,9602.509765625,mse
82,21.92501418332796,9613.712890625,mse
83,21.13354676478618,9656.8642578125,mse
84,21.25412109574756,9661.2578125,mse
85,21.24215676011266,9632.3935546875,mse
86,22.456150705749923,9594.1630859375,mse
87,20.716871076339,9715.6630859375,mse
88,20.241616232975108,9517.8193359375,mse
89,20.274544636945468,9643.9462890625,mse
90,20.2158355020188,9580.9375,mse
91,19.13953992160591,9621.30859375,mse
92,19.524011365465217,9538.8935546875,mse
93,18.824424606722754,9554.68359375,mse
94,17.499384503106814,9514.552734375,mse
95,18.239119942123825,9610.6328125,mse
96,17.994955161133326,9576.3388671875,mse
97,18.481226383028805,9579.1376953125,mse
98,17.866665778933346,9585.4873046875,mse
99,17.97782848010192,9630.890625,mse
100,18.608828290088756,9635.2744140625,mse
