iteration,train,valid,metric
1,67.07835552237324,10735.0732421875,mse
2,62.94294191534455,10619.9658203125,mse
3,59.29143901793538,10530.2666015625,mse
4,55.50311958306545,10433.1513671875,mse
5,52.63579284278928,10351.9833984375,mse
6,50.06808781885618,10309.7900390625,mse
7,47.914098742644526,10290.361328125,mse
8,47.09732139332069,10254.23828125,mse
9,45.86073571644925,10253.6767578125,mse
10,44.48516096376084,10226.4267578125,mse
11,43.558788449981726,10230.4052734375,mse
12,43.19078448253709,10226.0380859375,mse
13,42.33868545595858,10211.0234375,mse
14,41.950841491286816,10186.826171875,mse
15,41.37806401985723,10189.509765625,mse
16,40.469842734369074,10167.103515625,mse
17,40.05470603100351,10194.169921875,mse
18,39.23630010397048,10106.9052734375,mse
19,39.24678208235953,10163.2431640625,mse
20,38.02898133848164,10169.134765625,mse
21,37.739490963115884,10185.814453125,mse
22,37.21887065429945,10194.0595703125,mse
23,36.701747078750586,10230.0888671875,mse
24,36.72721178104749,10152.998046875,mse
25,36.74760604589372,10059.7734375,mse
26,38.41026525763241,10161.7890625,mse
27,37.02249183002356,10014.509765625,mse
28,35.52708961452181,10101.4345703125,mse
29,35.001303778306855,10054.009765625,mse
30,35.05342596245779,10069.2333984375,mse
31,34.659928430576585,10015.9599609375,mse
32,33.55871914286871,10042.6298828125,mse
33,33.168210079742444,10011.740234375,mse
34,32.66958634112332,10059.79296875,mse
35,32.10952148888562,10031.736328125,mse
36,32.43935936689377,10083.3037109375,mse
37,31.885707368520467,10054.3193359375,mse
38,32.2329597372461,10033.296875,mse
39,31.53510088775609,10063.40625,mse
40,31.096159295858563,10049.7763671875,mse
41,31.12099698910842,10052.1689453125,mse
42,30.017129328202557,10056.6767578125,mse
43,30.57099685878367,10014.953125,mse
