iteration,train,valid,metric
1,58.85938129594197,6168.5810546875,mse
2,42.56792935809574,4670.44873046875,mse
3,38.24012458062655,5193.7978515625,mse
4,36.739109167577446,5637.83056640625,mse
5,35.048101330125654,5478.470703125,mse
6,31.698227862651283,5580.59375,mse
7,32.41311387576767,5474.49609375,mse
8,33.94926868822124,5859.861328125,mse
9,42.155234012047984,6723.26953125,mse
10,37.561341690856054,5462.10888671875,mse
11,33.9701714509645,5483.68994140625,mse
12,33.206980266885175,5661.93359375,mse
