iteration,train,valid,metric
1,12.054735179512283,3113.87353515625,mse
2,10.084629768329496,3064.591796875,mse
3,8.84902519240623,3023.750732421875,mse
4,7.881722328643239,2995.974853515625,mse
5,7.419258166960365,2990.05078125,mse
6,7.0116003074280515,2987.857666015625,mse
7,6.68019297784446,2978.7177734375,mse
8,6.352694454300846,2967.24755859375,mse
9,6.125054465732663,2955.8408203125,mse
10,5.832573302316706,2952.280029296875,mse
11,5.474969564723103,2951.090087890625,mse
12,5.352829704426128,2924.919677734375,mse
13,5.175641572342028,2908.346923828125,mse
14,4.990401102380978,2885.00634765625,mse
15,5.102186274400132,2913.406982421875,mse
16,4.865905830133203,2910.200439453125,mse
17,4.901604500297155,2927.724609375,mse
18,4.740093512032685,2901.23095703125,mse
19,4.709682839041626,2884.2783203125,mse
20,4.768846646857423,2867.423095703125,mse
21,4.33797449734364,2856.117919921875,mse
22,4.249174272591198,2859.472412109375,mse
23,4.0985760303667265,2849.369140625,mse
24,3.916430595154698,2868.811279296875,mse
25,3.8365078402582453,2868.328125,mse
26,3.667922960896347,2874.32275390625,mse
27,3.620251160190516,2876.122314453125,mse
28,3.6757991650720707,2870.97412109375,mse
29,3.39484486253177,2866.849365234375,mse
30,3.27072234771441,2857.228759765625,mse
31,3.24002048619897,2838.2158203125,mse
32,3.311926616985049,2849.077392578125,mse
33,3.428687786733782,2838.58154296875,mse
34,3.534145759569632,2817.72607421875,mse
35,3.3100094984008654,2817.762451171875,mse
36,3.0052108794350074,2782.980712890625,mse
37,2.9418785110921473,2805.782958984375,mse
38,2.8651987130476817,2796.54296875,mse
39,2.826646629368534,2807.626220703125,mse
40,2.6691049809089384,2784.26904296875,mse
41,2.478848839933808,2793.32177734375,mse
42,2.4846311929962925,2778.077880859375,mse
43,2.523026797215681,2772.6787109375,mse
44,2.2653098647306495,2770.146240234375,mse
45,2.336633406680178,2775.317626953125,mse
46,2.1086945167012714,2778.480712890625,mse
47,2.176609380120361,2760.910400390625,mse
48,2.1266798400697677,2752.76318359375,mse
49,2.1676565486232975,2759.634033203125,mse
50,2.320706902600422,2739.565185546875,mse
51,2.002528814548576,2769.469482421875,mse
52,2.1470107030425525,2766.404296875,mse
53,2.0311456714328884,2791.220703125,mse
54,2.0378709475232943,2767.602294921875,mse
55,1.8509421863064572,2775.008056640625,mse
56,2.0239316343858436,2772.03076171875,mse
57,2.0114911584233917,2753.60205078125,mse
58,2.0727272192267954,2728.3134765625,mse
59,2.178249701354149,2745.45361328125,mse
60,2.4121486425299095,2704.484375,mse
61,2.252790977674964,2763.143798828125,mse
62,1.7910580551503479,2662.0595703125,mse
63,1.6134794012869935,2692.24609375,mse
64,1.5658951962517726,2675.947265625,mse
65,1.4363406567104362,2696.8994140625,mse
66,1.4975491195313029,2721.708251953125,mse
67,1.654851716112446,2705.19970703125,mse
68,1.5405751588074743,2705.912353515625,mse
69,1.6012807656582948,2712.0625,mse
70,1.3736083439576465,2698.7763671875,mse
71,1.3868185451908692,2712.4697265625,mse
72,1.4886078187642064,2681.545166015625,mse
