iteration,train,valid,metric
1,0.09308825286484765,0.08075102149821535,rmse
2,0.09127292183110278,0.07953707771201418,rmse
3,0.08965918162905046,0.07700814952081006,rmse
4,0.08804318940041349,0.07451771582683037,rmse
5,0.08641318007875579,0.07269838676724512,rmse
6,0.0849446578794179,0.07190257336361852,rmse
7,0.08342893770329662,0.07068313133194314,rmse
8,0.08215810654867559,0.06935822497809724,rmse
9,0.08074561051775171,0.06660789901032038,rmse
10,0.07956211807513236,0.0658266008346118,rmse
11,0.07851341469444963,0.06556434658281082,rmse
12,0.07731594319127293,0.06347184773347588,rmse
13,0.07607666823252339,0.06300065310007362,rmse
14,0.07510623563549611,0.06186518948388046,rmse
15,0.0742219068749828,0.06142629399556968,rmse
16,0.07334525660879135,0.06169161989741918,rmse
17,0.07237343505581316,0.06117536249211224,rmse
18,0.07146763937496822,0.06060605801189695,rmse
19,0.07052559925684262,0.06082835051307474,rmse
20,0.06975363084583289,0.06140115289917331,rmse
21,0.06909263960337593,0.0608324768004342,rmse
22,0.06835740504167304,0.06091221243403917,rmse
23,0.06767557208157708,0.06106182583002944,rmse
24,0.06700858671354343,0.0611675930913095,rmse
25,0.06631914121623442,0.06121381735163103,rmse
26,0.06562511335368452,0.06198198358012725,rmse
27,0.06498603455469179,0.06198663602503323,rmse
28,0.06441016629686885,0.06326053298460985,rmse
29,0.06399739626222083,0.06297366706489964,rmse
30,0.06357004157999542,0.06530316938187755,rmse
31,0.06300580253831657,0.06627629776517877,rmse
32,0.06260064398266377,0.06671152855692891,rmse
33,0.06216019425335861,0.06730034485664331,rmse
34,0.0616950398880611,0.06778824437609159,rmse
35,0.0612914438081769,0.06778680471640425,rmse
36,0.06086484214290649,0.06774435431158166,rmse
37,0.06044489313823719,0.06749632833937219,rmse
38,0.06011827396816863,0.06866590086329676,rmse
39,0.0598454548729121,0.06879370824964752,rmse
40,0.05941926891198794,0.06911848522074421,rmse
41,0.05898484777983152,0.06918874343861466,rmse
42,0.05861171010283714,0.06939465502540951,rmse
43,0.05834006727713436,0.06954985317783803,rmse
44,0.05800485609770217,0.06929108964411437,rmse
45,0.05768044058634583,0.07051661190847684,rmse
46,0.05742604902090559,0.0705275619219018,rmse
47,0.05715691925425586,0.07069613396826326,rmse
48,0.05695108258312304,0.07118871067467729,rmse
49,0.05672239687611901,0.07172582249521607,rmse
50,0.05631549919688691,0.0719063308555774,rmse
51,0.0559538999577029,0.07215936951246434,rmse
52,0.05559464046629137,0.07209922598570201,rmse
53,0.05535288741922115,0.07220760357784138,rmse
54,0.05502287664520202,0.07204336891216143,rmse
55,0.05475115838571395,0.07178344693841919,rmse
56,0.05456535771645718,0.07251785512029592,rmse
57,0.05439704900252181,0.07375466766331606,rmse
58,0.0541077186396362,0.07351985348693363,rmse
59,0.05377832861831525,0.07329631552892482,rmse
60,0.05355563346022726,0.07398585444376944,rmse
61,0.05334507236455267,0.07509180509582437,rmse
62,0.0530749112222012,0.07526152154016648,rmse
63,0.05291113425038502,0.07503054222783735,rmse
64,0.05262153993637023,0.07520726340862931,rmse
65,0.05238952974366479,0.07529415375175294,rmse
66,0.05221141337591002,0.07575985442077174,rmse
67,0.05205623238589614,0.07641198596875312,rmse
68,0.05190283990918599,0.0775025425694319,rmse
69,0.05178635031563604,0.07745191711593283,rmse
70,0.05153116385739029,0.07758365142692983,rmse
71,0.05128526083183887,0.07774488117222031,rmse
72,0.05103960148796709,0.077980470702723,rmse
73,0.05085078974128614,0.07794694113095013,rmse
74,0.05071123038330082,0.07903827335702754,rmse
75,0.05049447813879428,0.07895037830443484,rmse
76,0.05030070588363712,0.0790551596585541,rmse
77,0.05005972581017747,0.07894556122323157,rmse
78,0.04980495011030724,0.07922150122163223,rmse
79,0.04964552210574784,0.07916814387253125,rmse
80,0.04954460439469078,0.08025410627078251,rmse
81,0.04928679218912018,0.08096737147632824,rmse
82,0.04905691874447812,0.0812675344150299,rmse
83,0.04891679829617027,0.081233721571347,rmse
84,0.04873306555333125,0.08120066482807177,rmse
85,0.04859976283461079,0.08218756807977262,rmse
86,0.04840373105982874,0.08236105162976852,rmse
87,0.04828266256080935,0.08266141060970714,rmse
88,0.04800110897698007,0.08251646655181402,rmse
89,0.04781507121406344,0.08258346786714842,rmse
90,0.04765663553665705,0.0817515935288057,rmse
91,0.04734263111353555,0.08171704672995422,rmse
92,0.04718897565792909,0.08200870460798224,rmse
93,0.04698278023006893,0.08195411368950985,rmse
94,0.04671579854152703,0.08147622616704871,rmse
95,0.04654057795946991,0.08185538997065243,rmse
96,0.04643326144442611,0.08287559172875428,rmse
97,0.04631269250502669,0.08374453780480824,rmse
98,0.04622885983068641,0.08451960003866313,rmse
99,0.04607245465470138,0.08483827997780787,rmse
100,0.04586848958202687,0.08488605143135208,rmse
