iteration,train,valid,metric
1,24204.916862487793,74163.6015625,mse
2,24136.31562614441,74063.21875,mse
3,24076.506331443787,73965.7890625,mse
4,24025.628425598145,73863.75,mse
5,23986.719460805256,73747.671875,mse
6,23940.495162010193,73645.796875,mse
7,23901.57266139984,73545.765625,mse
8,23849.86430835724,73440.2265625,mse
9,23789.967327276867,73332.703125,mse
10,23752.033535321552,73225.0234375,mse
11,23704.59137614568,73122.0625,mse
12,23656.559713045757,73025.3515625,mse
13,23611.69384288788,72931.171875,mse
14,23568.19443353017,72837.0390625,mse
15,23514.70709546407,72741.7734375,mse
16,23472.773301442463,72643.8125,mse
17,23403.83194557826,72545.0234375,mse
18,23386.830714861553,72444.7109375,mse
19,23346.30272928874,72345.9765625,mse
20,23284.8157637914,72250.4453125,mse
21,23224.008840560913,72156.3125,mse
22,23185.048314730328,72060.9609375,mse
23,23136.69153658549,71969.9140625,mse
24,23102.818137486775,71885.3125,mse
25,23053.462198257446,71804.6796875,mse
26,23011.462141036987,71726.3203125,mse
27,22942.568124135334,71652.2265625,mse
28,22902.585958480835,71581.640625,mse
29,22862.09738477071,71516.2734375,mse
30,22822.696781158447,71451.2890625,mse
31,22822.92482471466,71385.046875,mse
32,22784.566222508747,71317.8671875,mse
33,22754.18795744578,71250.34375,mse
34,22671.991557439167,71188.1171875,mse
35,22683.446353753407,71129.1328125,mse
36,22647.951704502106,71073.546875,mse
37,22545.69492181142,71020.265625,mse
38,22527.292526563007,70967.4375,mse
39,22505.631796836853,70912.6015625,mse
40,22482.369289398193,70856.140625,mse
41,22436.526035467785,70791.3125,mse
42,22400.583488782246,70725.953125,mse
43,22362.396711508434,70664.1328125,mse
44,22347.040356000263,70606.6015625,mse
45,22272.109521547955,70550.1953125,mse
46,22284.621674696606,70491.1796875,mse
47,22256.704144477844,70432.34375,mse
48,22199.384940624237,70374.234375,mse
49,22201.119636058807,70315.8828125,mse
50,22106.838640213013,70256.2890625,mse
51,22148.297572453816,70192.3828125,mse
52,22080.168106714886,70128.7421875,mse
53,22024.931519826252,70065.6015625,mse
54,22007.57532342275,69998.484375,mse
55,21984.751238505047,69933.9765625,mse
56,21939.68497912089,69872.0390625,mse
57,21898.611193497974,69811.3671875,mse
58,21843.333182970684,69751.0625,mse
59,21818.516182899475,69689.625,mse
60,21805.913771311443,69628.578125,mse
61,21776.183177947998,69568.5859375,mse
62,21799.75279076894,69510.7734375,mse
63,21715.806031862896,69454.3515625,mse
64,21721.250473976135,69398.5078125,mse
65,21690.995357831318,69342.625,mse
66,21661.74720986684,69287.5234375,mse
67,21603.649708747864,69231.859375,mse
68,21533.83550230662,69176.765625,mse
69,21590.45626290639,69122.421875,mse
70,21535.243857065838,69068.78125,mse
71,21522.431984265644,69015.3828125,mse
72,21506.301572799683,68962.234375,mse
73,21441.16584777832,68910.6875,mse
74,21409.41364479065,68857.6640625,mse
75,21380.615663528442,68803.5625,mse
76,21374.653422991436,68752.328125,mse
77,21359.838333447773,68701.3984375,mse
78,21292.756305058796,68654.0234375,mse
79,21300.43176205953,68608.1484375,mse
80,21257.387633959454,68564.3203125,mse
81,21229.370853106182,68516.515625,mse
82,21184.971156756084,68464.5859375,mse
83,21153.709896087646,68408.2109375,mse
84,21152.121991475422,68354.15625,mse
85,21123.52541097005,68297.25,mse
86,21052.448978741962,68231.359375,mse
87,21054.40687243144,68168.3359375,mse
88,21053.88537502289,68106.6796875,mse
89,21029.885179201763,68044.59375,mse
90,20980.123024304707,67986.1171875,mse
91,20948.8338804245,67930.625,mse
92,20915.254692395527,67878.0859375,mse
93,20875.812621752422,67825.9609375,mse
94,20865.099501927692,67774.1484375,mse
95,20835.497800827026,67719.6171875,mse
96,20884.165553092957,67663.4765625,mse
97,20827.725933710735,67605.5859375,mse
98,20753.73916021983,67550.8671875,mse
99,20737.331891536713,67498.0234375,mse
100,20777.172214190166,67447.6640625,mse
