iteration,train,valid,metric
1,37.21648956426003,126.42168883525734,rmse
2,36.00812594644907,124.6921562895553,rmse
3,34.81034575510469,120.5568256890638,rmse
4,33.60563804060985,116.54612795782968,rmse
5,32.4738414219913,113.26357217863068,rmse
6,31.412809899631046,108.86631890406215,rmse
7,30.3580238331637,105.16386927456905,rmse
8,29.354647439550426,101.92780912520354,rmse
9,28.385007900152296,95.59598408067625,rmse
10,27.54018327861026,93.84237351092438,rmse
11,26.724277355122553,92.30420305414518,rmse
12,25.87402783196072,89.57415125899581,rmse
13,25.056626976158892,87.2870266501808,rmse
14,24.335811097631247,82.57261628976558,rmse
15,23.574153683946793,80.58242333260804,rmse
16,22.858568059134036,78.86029825649622,rmse
17,22.26360521768753,76.65772275214981,rmse
18,21.62036292672922,73.09366622897856,rmse
19,21.090921047258064,68.2602888985924,rmse
20,20.57984377308852,65.01308081679863,rmse
21,20.098216295356224,63.15908875104936,rmse
22,19.699064806542214,59.253752863993654,rmse
23,19.168072004476194,57.56775063785476,rmse
24,18.686002890225595,53.9804812583956,rmse
25,18.195294807635044,52.98634175467555,rmse
26,17.761691233077602,50.442059299125376,rmse
27,17.30992670004867,48.589370738353985,rmse
28,16.914747306627493,46.77736032298587,rmse
29,16.594565513790844,46.396509766404385,rmse
30,16.226189800992906,46.08575157458812,rmse
31,15.876680513748475,45.73128836923587,rmse
32,15.527860578929428,44.13807219111614,rmse
33,15.203766072494826,43.860768830095715,rmse
34,14.918408823060188,43.079872977605,rmse
35,14.625811896407166,42.91197806294761,rmse
36,14.432145213620243,42.6471030108372,rmse
37,14.16738880791505,42.23796557764983,rmse
38,13.924388133122225,42.128181672617714,rmse
39,13.693936029210809,42.45986349596485,rmse
40,13.485399339595636,42.477663916855825,rmse
41,13.269367041043914,42.2063050503111,rmse
42,13.118220420103317,41.73485970442312,rmse
43,12.941761692693438,41.71115533316937,rmse
44,12.791011960715972,41.76303565164996,rmse
45,12.622478311041673,41.615750620178225,rmse
46,12.450904486362024,41.514184198591835,rmse
47,12.28774794267661,41.76716829308653,rmse
48,12.145851922915107,42.123419732977965,rmse
49,12.056273731461015,42.232712106345915,rmse
50,11.943012927092138,42.459718608492246,rmse
51,11.81669315768111,42.40200035997141,rmse
52,11.690787568710606,42.386248021487006,rmse
53,11.5859254069956,42.46501499380365,rmse
54,11.487561824887742,42.50005833552028,rmse
55,11.41220101717341,42.66212432476539,rmse
56,11.31902053687853,43.54310965823666,rmse
57,11.260842311727075,43.534166041067266,rmse
58,11.173161996247435,43.50561451728116,rmse
59,11.118808215598918,44.217136612927604,rmse
60,11.042240949261394,44.30299148743467,rmse
61,10.963914496276974,44.39689604093132,rmse
62,10.891763518235502,44.475151803809126,rmse
63,10.850404137640071,44.45755620017483,rmse
64,10.7862708573201,44.362477989855336,rmse
65,10.725225798109753,44.35209935075979,rmse
66,10.681356085395127,44.46127311239712,rmse
67,10.62840584064531,44.522151882554894,rmse
68,10.576360075454113,44.537358334933714,rmse
69,10.53007404810679,44.62658800444607,rmse
70,10.481021293660087,44.60666390044743,rmse
71,10.437314335834575,44.57645214782581,rmse
72,10.410432654234413,44.60083321784968,rmse
73,10.379820001748438,44.56313474799183,rmse
74,10.352544446663867,44.56100216095,rmse
75,10.313659708005465,44.57571354787877,rmse
76,10.272375803626135,45.0875768138781,rmse
77,10.253015179703562,45.0935887839071,rmse
78,10.218924557003337,45.15265077817272,rmse
79,10.196563646381046,45.11971425451068,rmse
80,10.16665533604648,45.3229823917341,rmse
81,10.134303485503686,45.37860758664471,rmse
82,10.103676640074024,45.47766234575786,rmse
83,10.075902773887092,45.53862530316771,rmse
84,10.045275464339335,46.61208991654605,rmse
85,10.020350417949595,46.60412730669414,rmse
86,9.991470147188913,46.17506414089148,rmse
87,9.977327298498865,46.18749342832132,rmse
88,9.95263113662456,46.214364741952956,rmse
89,9.929511560244729,46.28131883609623,rmse
90,9.887395635878129,47.0801096001891,rmse
91,9.864061829033114,47.0660086836319,rmse
92,9.843463072638121,47.10530300524498,rmse
93,9.82111873210988,47.104826892521935,rmse
94,9.806799165807387,47.10676498359513,rmse
95,9.784771951756202,47.11806137485432,rmse
96,9.752049615148556,47.325750707191396,rmse
97,9.732688945438323,47.38115355110466,rmse
98,9.713039426907498,47.41368258908957,rmse
99,9.69405133562365,47.39386170790844,rmse
100,9.68134113640386,47.46549876778309,rmse
