iteration,train,valid,metric
1,0.14683591633538184,0.1007422592533304,rmse
2,0.142970248552722,0.09717265798559896,rmse
3,0.13940698500463475,0.09405339579367311,rmse
4,0.13609300706790167,0.0907515980916426,rmse
5,0.13304056975037595,0.08800197903656454,rmse
6,0.13021637885534854,0.08518005188456154,rmse
7,0.12754158274121946,0.08265026874022509,rmse
8,0.12498539275026128,0.08018268507235422,rmse
9,0.12268528463420326,0.07784064388659616,rmse
10,0.12047521566478236,0.07551783831824302,rmse
11,0.11840115689666314,0.073608294298686,rmse
12,0.11642518606245858,0.07133750126009304,rmse
13,0.1146450866711433,0.06911541250655003,rmse
14,0.11301646152478556,0.06728724472555242,rmse
15,0.1114213032446357,0.0656102146438017,rmse
16,0.1099032508606474,0.06418199449368105,rmse
17,0.10848214244647268,0.06256138133920149,rmse
18,0.10723413478141586,0.06105575695865476,rmse
19,0.10604940869377741,0.0595809619481965,rmse
20,0.10494769069991668,0.05839265255323088,rmse
21,0.10394832822102369,0.0573308421498333,rmse
22,0.10303065652661461,0.05606429914283724,rmse
23,0.10217910579877458,0.05496221956817664,rmse
24,0.10125007203923629,0.05381078629985171,rmse
25,0.10042581176891012,0.05286729318850321,rmse
26,0.09967955730414127,0.0520534971259904,rmse
27,0.098925831051703,0.05128971960068501,rmse
28,0.09828016854896726,0.05061700396579917,rmse
29,0.09766156503624475,0.0499873444305904,rmse
30,0.09709719273689879,0.04938614879754961,rmse
31,0.09655209527117341,0.04877499117967055,rmse
32,0.09606571963591794,0.04815750856743555,rmse
33,0.09561582305046817,0.04760705162823275,rmse
34,0.09515312202798244,0.04694792070826527,rmse
35,0.09466947667964576,0.04639656296761242,rmse
36,0.0942826218236413,0.04579172851622202,rmse
37,0.09393346573395059,0.04516876878853853,rmse
38,0.09358489550618268,0.04459202737473107,rmse
39,0.09327085755700006,0.04409885970896398,rmse
40,0.09295436350929477,0.04354180939737236,rmse
41,0.09267141921688067,0.04303113314584248,rmse
42,0.09237537677654226,0.04265784751377154,rmse
43,0.09209542775861014,0.04205461437524675,rmse
44,0.09184432046291002,0.0417822574541209,rmse
45,0.0915723590519089,0.04132857837523319,rmse
46,0.0913546916490519,0.04091617275410468,rmse
47,0.09112234046437648,0.04064665680599389,rmse
48,0.09087528182011011,0.04025377590838974,rmse
49,0.09065640356948859,0.04009508889811964,rmse
50,0.09046534398849722,0.03999986508530344,rmse
51,0.09029766241519868,0.03980814976580119,rmse
52,0.09012804950471517,0.03961998394490519,rmse
53,0.08992284540360178,0.03935879480231905,rmse
54,0.08973887297687433,0.03915484748078689,rmse
55,0.08957915801566071,0.03887148667550717,rmse
56,0.08941981934851773,0.03868010146128672,rmse
57,0.08926781561184184,0.03836546100208521,rmse
58,0.08909170220516816,0.03816388408866155,rmse
59,0.08891501325867038,0.03778035851794502,rmse
60,0.08876448753054961,0.03756290752579242,rmse
61,0.0886416521018274,0.03742134968974582,rmse
62,0.08852545308010017,0.0373056789203345,rmse
63,0.08838234596400298,0.03710035843125563,rmse
64,0.0882454226838837,0.03678152628201537,rmse
65,0.08812605246286762,0.03692975391628779,rmse
66,0.08800684769224991,0.03690472575137727,rmse
67,0.08787546336806837,0.0367186443786644,rmse
68,0.08773680630571823,0.03701371600296628,rmse
69,0.08762721838000156,0.03675394513856969,rmse
70,0.08751532519541026,0.03658360649877523,rmse
71,0.08742423344244069,0.03633283174892139,rmse
72,0.08731928049256583,0.03610039901670018,rmse
73,0.08721373302104801,0.03592760864182921,rmse
74,0.08711181037150459,0.03582902159725433,rmse
75,0.08701798686347852,0.03590239026452401,rmse
76,0.08691511182386884,0.03587195635302969,rmse
77,0.08681073004840344,0.03575819051342728,rmse
78,0.0867186451515453,0.03567999436520841,rmse
79,0.0866166068680524,0.03553738726816181,rmse
80,0.08652633198870384,0.03558945610698334,rmse
81,0.08642540634544447,0.03537662746934396,rmse
82,0.08633831979684116,0.03529981853466461,rmse
83,0.08625750467378197,0.0351533236854225,rmse
84,0.08617277216035193,0.03533478062412639,rmse
85,0.086081475089621,0.03525945146874539,rmse
86,0.08597283169684357,0.03506246817488354,rmse
87,0.08588418409248354,0.03504077793137651,rmse
88,0.08580656021231257,0.03498909551582488,rmse
89,0.08571896762965431,0.03486704178289259,rmse
90,0.08563383571631773,0.03476563847171971,rmse
91,0.08555063970152435,0.03474469580676135,rmse
92,0.08544900234340745,0.03471821994027039,rmse
93,0.08537770182580046,0.03470120545881165,rmse
94,0.0852840940719762,0.03447104872340237,rmse
95,0.08521811330311387,0.03452856262940798,rmse
96,0.08514849465653059,0.03454239016642691,rmse
97,0.08509328874036709,0.03463011346190929,rmse
98,0.08501529009378758,0.0346077993521009,rmse
99,0.08494462776568668,0.0345947322880947,rmse
100,0.08488405213856917,0.03478247505667709,rmse
