iteration,train,valid,metric
1,16355.94028746576,53295.0546875,mse
2,16063.928900741808,52201.32421875,mse
3,15789.160463471846,51204.6953125,mse
4,15560.298380042568,50376.98046875,mse
5,15360.600891974478,49604.8984375,mse
6,15186.763636479232,48889.015625,mse
7,15013.40213512074,48204.90625,mse
8,14853.588369779876,47550.41796875,mse
9,14721.473102378844,46928.3671875,mse
10,14566.243001007311,46325.30078125,mse
11,14410.56725325151,45738.66015625,mse
12,14285.192921782986,45172.83984375,mse
13,14163.823080138005,44625.671875,mse
14,14051.339250333382,44107.8203125,mse
15,13928.432600188979,43586.5703125,mse
16,13795.49911216389,43087.26953125,mse
17,13684.709488816694,42593.91015625,mse
18,13586.49528757731,42119.27734375,mse
19,13458.332758181023,41650.73046875,mse
20,13350.89141031901,41195.67578125,mse
21,13264.23852191694,40749.41796875,mse
22,13172.631872968963,40321.08984375,mse
23,13076.22422878959,39899.4296875,mse
24,12996.314780113913,39521.27734375,mse
25,12868.19105499152,39075.8515625,mse
26,12791.45940621116,38678.28125,mse
27,12728.779955048994,38297.04296875,mse
28,12603.386827613369,37920.23046875,mse
29,12544.166602591313,37572.76953125,mse
30,12463.575076056972,37171.39453125,mse
31,12350.611740193222,36824.828125,mse
32,12240.235108548944,36465.28125,mse
33,12195.697791498358,36126.41796875,mse
34,12134.91966231375,35821.41015625,mse
35,12062.107332472367,35457.79296875,mse
36,11954.443987147013,35127.85546875,mse
37,11882.602186815666,34851.9453125,mse
38,11830.047133659595,34529.93359375,mse
39,11729.736552845348,34237.8671875,mse
40,11679.824783417673,33966.82421875,mse
41,11605.772257602575,33607.59765625,mse
42,11538.354515110363,33342.69140625,mse
43,11470.779806576353,33045.203125,mse
44,11426.714277695164,32802.7578125,mse
45,11322.594970934319,32596.560546875,mse
46,11252.63821662556,32199.67578125,mse
47,11178.521041523327,31986.810546875,mse
48,11116.918094762166,31638.30078125,mse
49,11004.841928909764,31512.333984375,mse
50,10975.960914334384,31172.146484375,mse
51,10925.908368474787,30998.0390625,mse
52,10807.552364684596,30734.232421875,mse
53,10828.362344267875,30544.03515625,mse
54,10761.525760673754,30257.705078125,mse
55,10754.011576739225,29864.283203125,mse
56,10663.48988752654,29625.57421875,mse
57,10594.269795862834,29417.658203125,mse
58,10530.680855467825,29310.6484375,mse
59,10473.74482683124,29060.18359375,mse
60,10458.221301882195,28849.908203125,mse
61,10362.278157020337,28670.9453125,mse
62,10345.830232654918,28406.541015625,mse
63,10264.453562776971,28193.166015625,mse
64,10171.604873437593,28043.6484375,mse
65,10196.376449723677,27754.77734375,mse
66,10090.808779537316,27613.74609375,mse
67,10104.9925610629,27459.50390625,mse
68,10030.074835679025,27152.361328125,mse
69,9948.337450524532,27015.001953125,mse
70,9936.57830178232,26922.1484375,mse
71,9910.123163281065,26572.466796875,mse
72,9799.990121298126,26443.6484375,mse
73,9818.223975742225,26134.2265625,mse
74,9744.263736424302,26105.421875,mse
75,9704.416610555938,25795.171875,mse
76,9640.162264875933,25618.015625,mse
77,9619.475100869844,25518.53515625,mse
78,9615.26929769805,25250.962890625,mse
79,9525.108508115827,25167.267578125,mse
80,9503.883058004669,24922.421875,mse
81,9436.663531054872,24799.2734375,mse
82,9449.69786306439,24644.669921875,mse
83,9311.76640514027,24382.90234375,mse
84,9310.970848857994,24288.658203125,mse
85,9192.675720931544,24077.296875,mse
86,9194.498838967987,23961.07421875,mse
87,9211.826402213357,23724.162109375,mse
88,9113.817787239768,23533.396484375,mse
89,9034.64636742563,23448.18359375,mse
90,9075.095150086374,23298.033203125,mse
91,8993.335554874304,23113.666015625,mse
92,8961.395084727894,22981.779296875,mse
93,8939.486655125473,22878.27734375,mse
94,8865.757851710465,22702.7890625,mse
95,8860.21155054497,22517.412109375,mse
96,8783.66781093713,22297.3203125,mse
97,8789.373047002156,22165.775390625,mse
98,8789.375254659943,21970.1796875,mse
99,8795.96683885979,22029.9453125,mse
100,8736.720625721324,21727.6875,mse
