iteration,train,valid,metric
1,16330.804699944005,53313.90625,mse
2,15937.21556018916,51526.54296875,mse
3,15617.484092838115,50487.890625,mse
4,15389.255513532235,49675.3203125,mse
5,15202.99374069445,48926.15625,mse
6,15021.496272277833,48221.203125,mse
7,14861.806372047193,47556.25390625,mse
8,14706.37019850991,46921.76953125,mse
9,14576.377486928304,46320.49609375,mse
10,14422.689542961121,45947.06640625,mse
11,14303.045742624456,45165.25390625,mse
12,14175.1319116708,44692.29296875,mse
13,14022.052017570264,44078.21484375,mse
14,13941.582558750384,43568.44140625,mse
15,13815.24741427537,43078.12109375,mse
16,13673.606151241245,42591.20703125,mse
17,13594.56187491995,42111.4453125,mse
18,13502.79486324137,41648.12890625,mse
19,13350.261692989234,41197.66796875,mse
20,13266.05325385296,40741.8046875,mse
21,13197.71272094033,40306.93359375,mse
22,13087.017215929609,39908.39453125,mse
23,12989.88103758205,39500.9921875,mse
24,12897.346246404359,39114.27734375,mse
25,12818.345555958604,38682.140625,mse
26,12681.165996785598,38299.05078125,mse
27,12620.724186894387,37885.84375,mse
28,12527.583448147052,37553.96484375,mse
29,12462.554631525098,37165.95703125,mse
30,12384.509037876129,36812.984375,mse
31,12287.197300699985,36464.6015625,mse
32,12184.700241909604,36145.28515625,mse
33,12135.84558433764,35794.74609375,mse
34,12050.16221148462,35546.828125,mse
35,11922.208524397647,35185.96875,mse
36,11903.285339817856,34779.49609375,mse
37,11807.673551663485,34489.62890625,mse
38,11746.63013082562,34160.66796875,mse
39,11628.476551555865,33882.5390625,mse
40,11607.145821435524,33544.8046875,mse
41,11514.166019075567,33368.0390625,mse
42,11444.3139837265,33234.42578125,mse
43,11409.636811406685,32875.30078125,mse
44,11302.486263367624,32757.689453125,mse
45,11241.194966691914,32305.291015625,mse
46,11152.924768135765,31923.92578125,mse
47,11112.574946128962,31753.62890625,mse
48,11013.195076248863,31494.8046875,mse
49,10976.632092029398,31199.333984375,mse
50,10888.127637736003,31187.0703125,mse
51,10839.880491612174,30694.798828125,mse
52,10749.623314770784,30667.802734375,mse
53,10699.38885748892,30230.2421875,mse
54,10652.883780395623,29949.69921875,mse
55,10620.830886326414,29691.75390625,mse
56,10513.702485518023,29482.23828125,mse
57,10445.20870069735,29143.287109375,mse
58,10448.6274707274,29025.291015625,mse
59,10353.333217415666,28837.27734375,mse
60,10371.00019528938,28769.41015625,mse
61,10317.375723220362,28356.02734375,mse
62,10210.020006821373,28214.478515625,mse
63,10181.812847215479,27972.689453125,mse
64,10143.106162267743,27774.16015625,mse
65,10042.700179493066,27520.47265625,mse
66,9943.264709735638,27245.720703125,mse
67,9924.459196295882,27177.6484375,mse
68,9925.546576222507,27285.140625,mse
69,9849.021474601283,26801.392578125,mse
70,9760.967445650967,26659.3046875,mse
71,9776.753420610139,26462.412109375,mse
72,9718.395220372171,26131.638671875,mse
73,9691.350664034757,25914.74609375,mse
74,9599.467630961448,25878.1796875,mse
75,9542.604417124661,25650.3203125,mse
76,9540.690670198383,25859.392578125,mse
77,9418.63343741677,25510.546875,mse
78,9445.291619260383,25077.435546875,mse
79,9316.741426392757,24958.384765625,mse
80,9341.904771287513,24778.80078125,mse
81,9320.591858071992,24539.232421875,mse
82,9255.007778549194,24269.498046875,mse
83,9173.274925619184,24174.3515625,mse
84,9132.463233248392,24046.9453125,mse
85,9131.409911519831,23914.400390625,mse
86,8984.349806589069,23813.7734375,mse
87,9056.47852268797,23765.99609375,mse
88,8904.562203858115,23556.6015625,mse
89,8895.262156602108,23219.1953125,mse
90,8822.632439648021,23028.017578125,mse
91,8864.565522806572,22922.37890625,mse
92,8797.466424202197,22865.724609375,mse
93,8774.226259381843,23325.3515625,mse
94,8662.89730392225,22763.830078125,mse
95,8655.29816610163,22497.99609375,mse
96,8683.474628506285,22487.779296875,mse
97,8573.517635877204,22415.62109375,mse
98,8501.773159882516,22464.62890625,mse
99,8520.52180627187,21522.392578125,mse
100,8538.588700438992,21508.517578125,mse
