iteration,train,valid,metric
1,14556.701971973072,30322.5390625,mse
2,11402.11684889071,23326.3515625,mse
3,10204.014434404084,20674.0078125,mse
4,9471.259338425145,19423.32421875,mse
5,8920.371061807691,17464.701171875,mse
6,8593.12880711411,16022.673828125,mse
7,8169.8140451517975,15089.8212890625,mse
8,7808.179200984492,13689.6875,mse
9,7832.838172245026,14708.9375,mse
10,7661.000187989437,13217.5625,mse
11,7390.639956087055,12320.9140625,mse
12,7532.774986434705,12165.1083984375,mse
13,7215.151046030449,12554.2197265625,mse
14,7026.419688640941,11186.4677734375,mse
15,7199.735919264591,12508.8310546875,mse
16,6872.249863618793,10824.00390625,mse
17,6955.962887492325,11915.55078125,mse
18,6546.096901176915,9987.15625,mse
19,6856.444076243314,12034.0439453125,mse
20,6585.99390558185,11531.845703125,mse
21,7096.6271602226025,11562.2880859375,mse
22,6451.74536074436,10539.09765625,mse
23,6393.736934627186,10935.0400390625,mse
24,5952.1687593749075,9177.1181640625,mse
25,6187.046856781931,10802.6962890625,mse
26,5924.1676324555365,9093.2685546875,mse
27,5867.266138718345,10233.4208984375,mse
28,5555.402795069145,8552.5361328125,mse
29,5628.348418894681,9679.970703125,mse
30,5378.299140277053,8028.05224609375,mse
31,5556.683364382657,9737.564453125,mse
32,5236.084769127586,7161.44677734375,mse
33,5455.689535788334,10201.337890625,mse
34,4986.726195422086,7234.8447265625,mse
35,4966.229914341551,8616.1376953125,mse
36,5208.591779500788,7298.52734375,mse
37,5412.83569058505,9264.6806640625,mse
38,5188.947619894779,9488.42578125,mse
39,5336.1164813995365,8732.873046875,mse
40,5004.995034420129,10272.849609375,mse
41,4988.406755528305,8379.638671875,mse
42,4703.365864354914,6629.72900390625,mse
43,4800.526043342821,8668.4599609375,mse
44,4568.77941310767,6935.11376953125,mse
45,4893.757943066684,8049.29638671875,mse
46,4527.1937244762075,8460.4853515625,mse
47,4689.079216801037,7610.5869140625,mse
48,4486.556100452308,7544.6474609375,mse
49,4976.883875159061,7773.09130859375,mse
50,4103.821169939908,7070.41552734375,mse
51,3998.3061057119658,7235.49755859375,mse
52,3822.7832226030755,4835.4677734375,mse
53,4085.218252355402,7144.76025390625,mse
54,3933.351430430557,5497.49169921875,mse
55,4045.137932656028,6716.49169921875,mse
56,3926.259325778846,5289.77197265625,mse
57,4137.172715851755,7375.05126953125,mse
58,4233.022024489894,11032.8623046875,mse
59,4407.344591291023,6375.7666015625,mse
60,4071.5230403900146,7600.6533203125,mse
61,4285.034483268044,7365.34716796875,mse
62,4092.0915762467816,8132.17578125,mse
