iteration,train,valid,metric
1,9854.764566108452,47385.42578125,mse
2,9664.334858153548,46359.01953125,mse
3,9518.030740514398,45592.6484375,mse
4,9393.840873175433,44898.96484375,mse
5,9280.486338311008,44246.546875,mse
6,9179.394639536205,43634.609375,mse
7,9089.336797056985,43057.10546875,mse
8,8994.516312020698,42500.1953125,mse
9,8909.269365363356,41970.99609375,mse
10,8827.62318237871,41462.72265625,mse
11,8748.7515510938,40950.3046875,mse
12,8674.404644843724,40491.44140625,mse
13,8592.722171361956,40024.296875,mse
14,8532.652357896524,39566.90625,mse
15,8461.481360700514,39129.87109375,mse
16,8395.964232923729,38695.78125,mse
17,8323.400764825088,38318.1796875,mse
18,8268.750575711685,37914.41796875,mse
19,8224.0368506951,37510.328125,mse
20,8138.300960935652,37122.37890625,mse
21,8091.761009662279,36719.9296875,mse
22,8023.1136212434085,36405.328125,mse
23,7977.582405599101,36020.734375,mse
24,7933.528058354344,35681.640625,mse
25,7857.95089734665,35325.3671875,mse
26,7813.925220787525,35037.890625,mse
27,7762.629256680608,34780.91796875,mse
28,7714.656754768321,34376.39453125,mse
29,7666.122288544263,34084.59765625,mse
30,7639.786657786795,33806.30078125,mse
31,7573.684555920107,33541.28125,mse
32,7529.9703837271245,33192.9765625,mse
33,7495.190086926733,32987.0,mse
34,7441.161804965564,32617.958984375,mse
35,7401.710620552301,32394.185546875,mse
36,7362.675903101052,32091.5546875,mse
37,7304.999762569155,31866.064453125,mse
38,7252.0024409496355,31581.44140625,mse
39,7218.21471149368,31373.5703125,mse
40,7177.108940088323,31110.458984375,mse
41,7161.875980013183,30808.962890625,mse
42,7123.545342539038,30608.326171875,mse
43,7060.074763691851,30323.74609375,mse
44,7022.1499035826755,30077.947265625,mse
45,6983.2590463885235,29913.87109375,mse
46,6966.266318248851,29649.486328125,mse
47,6917.3045973054,29400.67578125,mse
48,6884.477257743478,29159.5390625,mse
49,6837.746958881617,28875.4296875,mse
50,6813.900456639273,28674.876953125,mse
51,6793.607399448752,28548.189453125,mse
52,6744.301968357393,28206.638671875,mse
53,6742.823038409863,27999.7109375,mse
54,6641.890563737069,27795.40234375,mse
55,6636.333510407379,27585.189453125,mse
56,6641.734691306949,27317.2734375,mse
57,6577.485336393118,27128.5234375,mse
58,6528.368249548333,27037.412109375,mse
59,6549.48082455567,26793.583984375,mse
60,6504.452591844967,26612.8125,mse
61,6476.308836866702,26483.88671875,mse
62,6469.688749221818,26228.814453125,mse
63,6397.5912023591145,26004.373046875,mse
64,6360.470198737724,25761.44140625,mse
65,6371.384883846556,25579.36328125,mse
66,6317.998845194067,25417.6953125,mse
67,6304.155431366393,25228.552734375,mse
68,6259.0950365151675,24998.638671875,mse
69,6234.807542511395,24856.033203125,mse
70,6215.144909496818,24642.576171875,mse
71,6175.365364751646,24411.208984375,mse
72,6200.307159281203,24379.9921875,mse
73,6172.395835472004,24283.921875,mse
74,6110.120103061199,23976.384765625,mse
75,6094.615030590977,23882.046875,mse
76,6074.759165894772,23871.341796875,mse
77,6028.265245207718,23529.822265625,mse
78,5980.272680025016,23318.75,mse
79,5964.9402818871395,23145.99609375,mse
80,5943.509426672544,23119.6640625,mse
81,5950.767453476787,22847.939453125,mse
82,5899.917004119073,22577.966796875,mse
83,5895.283112762229,22522.6171875,mse
84,5887.303188792297,22250.521484375,mse
85,5799.33808234334,22247.388671875,mse
86,5821.912532887289,22150.166015625,mse
87,5764.9149342381525,22024.177734375,mse
88,5759.6441772814305,21701.646484375,mse
89,5717.408219556723,21553.310546875,mse
90,5685.818725681731,21215.185546875,mse
91,5732.629795329912,21282.86328125,mse
92,5691.284635177681,21313.490234375,mse
93,5648.404210554702,20861.123046875,mse
94,5619.803300515881,20777.337890625,mse
95,5600.97236049601,20886.125,mse
96,5559.39985599901,20465.447265625,mse
97,5573.602438848998,20188.65234375,mse
98,5517.1551776996685,20116.208984375,mse
99,5505.771118217281,19953.341796875,mse
100,5506.602398664823,19964.25390625,mse
