iteration,train,valid,metric
1,9848.18088929099,47303.75390625,mse
2,9591.956125224575,45880.3203125,mse
3,9431.40766279436,45094.58203125,mse
4,9316.631570947091,44407.62109375,mse
5,9213.102586061661,43777.91796875,mse
6,9110.213093619868,43181.1484375,mse
7,9022.901880544096,42667.6796875,mse
8,8942.586847365901,42079.5078125,mse
9,8854.453709404117,41557.1796875,mse
10,8777.082936369083,41070.76953125,mse
11,8701.79842712401,40577.7421875,mse
12,8630.329856206596,40270.52734375,mse
13,8560.441030945829,39666.67578125,mse
14,8467.967113612818,39208.10546875,mse
15,8423.812334097589,38814.51953125,mse
16,8338.77474321598,38449.5,mse
17,8273.2510884184,37992.9296875,mse
18,8209.002056727186,37687.328125,mse
19,8170.600480854245,37248.34765625,mse
20,8111.2134503448115,36835.8125,mse
21,8057.897482562544,36609.328125,mse
22,7987.7850756876705,36145.02734375,mse
23,7917.579036202548,35736.859375,mse
24,7868.883834192929,35443.81640625,mse
25,7846.564692904641,35088.3203125,mse
26,7778.088166136028,34816.0,mse
27,7725.828391431698,34391.05078125,mse
28,7674.799647123952,34116.80859375,mse
29,7631.630405053496,33860.8671875,mse
30,7603.372951472445,33531.015625,mse
31,7526.80615635642,33240.140625,mse
32,7482.974249129848,32948.046875,mse
33,7463.686845104343,32601.0859375,mse
34,7390.999015482143,32303.763671875,mse
35,7364.895243213113,32044.537109375,mse
36,7302.111785406247,31808.017578125,mse
37,7243.524217510329,31554.591796875,mse
38,7208.19866275335,31280.435546875,mse
39,7189.581103774586,31059.720703125,mse
40,7135.3505840828375,30758.703125,mse
41,7112.644680373371,30564.908203125,mse
42,7055.2757945630165,30354.73828125,mse
43,7026.61330781877,30102.208984375,mse
44,6947.896486528218,29774.142578125,mse
45,6943.640372384606,29636.05078125,mse
46,6898.887362650463,29200.802734375,mse
47,6832.065820074241,29057.666015625,mse
48,6841.697254310229,28817.72265625,mse
49,6822.493251078363,28733.333984375,mse
50,6754.966601934284,28350.216796875,mse
51,6727.987627424832,28069.935546875,mse
52,6683.399225142917,28073.513671875,mse
53,6645.466339171997,27522.470703125,mse
54,6616.352091265576,27576.76171875,mse
55,6547.906603118671,27266.65234375,mse
56,6580.426316820617,27278.599609375,mse
57,6504.790496165199,26854.25,mse
58,6474.842018386083,26633.265625,mse
59,6435.220911476229,26399.412109375,mse
60,6426.212444452835,26176.220703125,mse
61,6394.506191418107,26120.384765625,mse
62,6360.2787814720405,25898.8671875,mse
63,6332.490360072681,25746.984375,mse
64,6252.492772938684,25567.248046875,mse
65,6252.832492571856,25390.265625,mse
66,6271.074228040874,25081.126953125,mse
67,6230.289450768381,25087.396484375,mse
68,6191.507332472929,24582.9296875,mse
69,6136.292551858617,24621.890625,mse
70,6119.887475574656,24241.462890625,mse
71,6095.872520700097,24161.63671875,mse
72,6029.064674765404,24002.552734375,mse
73,6054.391521539007,23589.875,mse
74,6048.536800681481,23643.564453125,mse
75,5996.179625310004,23516.322265625,mse
76,5978.398066480245,23252.978515625,mse
77,5919.155511215861,23335.166015625,mse
78,5908.66607366183,23042.3984375,mse
79,5872.932482526238,22933.939453125,mse
80,5878.537886412016,22704.99609375,mse
81,5821.583119296602,22911.3359375,mse
82,5777.1386334342615,22224.416015625,mse
83,5704.752772605845,22121.19140625,mse
84,5719.011191841215,22093.861328125,mse
85,5734.944466459432,22217.0234375,mse
86,5678.644867706512,21774.6796875,mse
87,5681.129692307009,21907.291015625,mse
88,5631.353175289397,21346.552734375,mse
89,5611.25817464771,21485.734375,mse
90,5598.930593077625,21236.2734375,mse
91,5585.020758049296,21219.7734375,mse
92,5556.358447472432,20981.02734375,mse
93,5526.220044861947,20823.66015625,mse
94,5479.894643250853,20718.912109375,mse
95,5469.703577642994,20539.041015625,mse
96,5459.434707293553,20255.3828125,mse
97,5417.2661248498725,20195.208984375,mse
98,5394.546425485185,20240.525390625,mse
99,5383.747832170555,19931.962890625,mse
100,5378.028077344809,20000.537109375,mse
