iteration,train,valid,metric
1,8686.485099961881,27768.419921875,mse
2,7395.2374803102575,22796.951171875,mse
3,6708.737314787228,20510.830078125,mse
4,6213.586095305958,17837.123046875,mse
5,5994.034887321293,16346.4248046875,mse
6,5791.751713938346,15227.5849609375,mse
7,5663.540395458362,13854.9736328125,mse
8,5458.173071388954,12723.6435546875,mse
9,5331.292387190142,13892.841796875,mse
10,5103.247772552206,10702.8291015625,mse
11,5016.791965430869,11942.775390625,mse
12,4661.975531892452,10645.923828125,mse
13,4506.868613862166,11509.9423828125,mse
14,4564.636358223323,10652.375,mse
15,4652.181004680693,10628.16796875,mse
16,4782.477083550766,17453.958984375,mse
17,4384.879000020346,12800.1240234375,mse
18,4423.650646712631,11701.4912109375,mse
19,4331.495584593287,12898.10546875,mse
20,4270.901766940951,11820.51171875,mse
21,4176.2185153876035,13347.0751953125,mse
22,4066.9238697950327,11976.4443359375,mse
23,3976.523849538394,13023.67578125,mse
24,4089.005381758724,11128.55859375,mse
25,3878.634248227413,11979.5302734375,mse
