iteration,train,valid,metric
1,91.34177855498852,184.78058499010814,rmse
2,88.07042103484468,179.5632846289384,rmse
3,84.74632101204621,174.30154314662065,rmse
4,81.45694756512312,167.69436760482117,rmse
5,78.47817338386116,160.50948176629467,rmse
6,75.5775622192021,153.956840189545,rmse
7,72.76922615010535,145.4724401940844,rmse
8,70.17266175177588,141.2542660552194,rmse
9,67.73273258820485,134.7075863534502,rmse
10,65.43529320552068,129.5416346276243,rmse
11,63.43092131908062,124.17144574554297,rmse
12,61.29684410778503,120.29953291638687,rmse
13,59.41417024589426,115.63908463134119,rmse
14,57.58862456810623,111.81972443199709,rmse
15,55.8005355593028,107.91081338568698,rmse
16,54.12028185398634,104.87407405152511,rmse
17,52.53553222203581,101.69836886639314,rmse
18,50.970610625448565,97.7004025821235,rmse
19,49.590462784207375,92.80106287416872,rmse
20,48.20108954218896,89.92486318297175,rmse
21,46.819497948111504,87.2756609619427,rmse
22,45.48990063888296,85.12309060581649,rmse
23,44.342076754068636,84.02518946358467,rmse
24,43.15707790980965,82.23809088933956,rmse
25,42.08045526373701,81.13260747793996,rmse
26,41.06835122483428,78.9821693100759,rmse
27,40.12538388231816,77.46835170341951,rmse
28,39.167765944782644,75.9076000753302,rmse
29,38.399308094131996,74.98634295959651,rmse
30,37.57868922447607,73.45089469018511,rmse
31,36.85247511868858,71.73852565743165,rmse
32,36.148732380511326,70.12719049138737,rmse
33,35.486007257463505,68.24784909533258,rmse
34,34.89922057729,66.04691659666827,rmse
35,34.16819942755963,64.36724143281056,rmse
36,33.60079041425899,63.36497789371812,rmse
37,32.99535158610813,62.576266717403996,rmse
38,32.46456277886217,61.863732215957484,rmse
39,31.972470441773122,61.547496574485216,rmse
40,31.423254989348177,61.26695230426111,rmse
41,30.86194503833193,60.029750989485514,rmse
42,30.35241451683069,59.595548512214926,rmse
43,29.947689909131842,59.184140056287134,rmse
44,29.49968087530026,58.518152286205726,rmse
45,29.04360762074648,57.251410381633725,rmse
46,28.696551466771858,56.96817200342904,rmse
47,28.35856102194584,56.0862235240737,rmse
48,28.004977931639736,55.34071179074116,rmse
49,27.700748295760658,55.174963265027834,rmse
50,27.411647868452228,54.513754242124264,rmse
51,27.061720734894624,54.26938720312655,rmse
52,26.846028340370935,53.83251505124004,rmse
53,26.613810579372732,53.24593670819628,rmse
54,26.36186084625726,52.68600581567123,rmse
55,26.12439256750636,52.51189827439288,rmse
56,25.905604362490976,52.49387841361752,rmse
57,25.61795180693774,52.363890375409,rmse
58,25.35411382514176,52.248088677503844,rmse
59,25.17620081661375,52.06953522351956,rmse
60,25.012327867287944,51.89415141478379,rmse
61,24.794281804640303,51.827294274911864,rmse
62,24.623475460245825,51.68535483671369,rmse
63,24.44943604173058,51.381062928050575,rmse
64,24.21171425558839,52.23727286706735,rmse
65,24.040357789069535,52.052494561029114,rmse
66,23.884833529455417,51.95227689745106,rmse
67,23.711900231744714,51.51253471065265,rmse
68,23.577516242974312,51.52132249685761,rmse
69,23.448112103325105,51.13519080814959,rmse
70,23.290987661712855,50.53366578068345,rmse
71,23.143782156457107,50.261857057262894,rmse
72,23.015875011300732,50.177892281156346,rmse
73,22.82454135256528,50.08126697968682,rmse
74,22.749422616849728,50.0867457866877,rmse
75,22.61488707339996,49.880948835168994,rmse
76,22.503114433871957,49.825341812992406,rmse
77,22.4405999752447,49.80722708386016,rmse
78,22.35393892612351,49.555078802108845,rmse
79,22.261708396769105,49.289637212746065,rmse
80,22.153069253475657,49.677056819108415,rmse
81,22.11108339526655,49.62327744589753,rmse
82,22.019365377866034,49.62841861353312,rmse
83,21.93154380797753,49.867422710496015,rmse
84,21.833427710394247,49.96886734329946,rmse
85,21.71391832794278,49.938068777371655,rmse
86,21.622971928933083,49.860973192282394,rmse
87,21.525791644955806,49.421514829852825,rmse
88,21.45399973603907,49.42741744023563,rmse
89,21.30423183739027,48.57043280428486,rmse
90,21.189896803371425,48.368712246479674,rmse
91,21.114148096627193,48.86607509284151,rmse
92,21.066102419982784,48.79829617751221,rmse
93,20.951641434406092,48.43181753651693,rmse
94,20.856306390722853,48.40209320191065,rmse
95,20.80739840097539,48.37193266750429,rmse
96,20.69226286712362,48.37624875284681,rmse
97,20.595726807084443,48.11697788044874,rmse
98,20.515638619742134,48.65811932077161,rmse
99,20.447095641166648,48.50736211318737,rmse
100,20.34944267726504,48.49303601224877,rmse
