iteration,train,valid,metric
1,384.1088728858316,487.8152770996094,mse
2,346.63631036119943,394.7638244628906,mse
3,324.1767216712489,331.9591979980469,mse
4,307.4097702520884,286.0591125488281,mse
5,293.56204526113754,250.97389221191406,mse
6,281.3289914249869,223.65357971191406,mse
7,269.91129104502625,196.51248168945312,mse
8,260.7804363574517,175.9699249267578,mse
9,251.5429606524817,157.13153076171875,mse
10,244.57852317064496,142.61370849609375,mse
11,234.6137548105444,132.72047424316406,mse
12,229.287041340339,119.40042114257812,mse
13,221.29218725506533,105.68365478515625,mse
14,215.3169217695624,99.99764251708984,mse
15,210.56597741251275,100.60664367675781,mse
16,203.67314065992832,92.45487976074219,mse
17,199.62274363611715,85.78460693359375,mse
18,195.31676221777826,83.73876190185547,mse
19,191.66583696512853,81.23042297363281,mse
20,185.95468656036815,86.17436981201172,mse
21,182.7284410148859,73.6457748413086,mse
22,178.0848662926484,98.940673828125,mse
23,173.8567610913414,88.00245666503906,mse
24,168.55843021404945,102.04239654541016,mse
25,166.00776114100117,109.26268005371094,mse
26,159.9953054315963,86.98886108398438,mse
27,158.36050848738623,66.70279693603516,mse
28,158.1289584272999,120.03084564208984,mse
29,151.65375415980816,109.81295776367188,mse
30,150.16422425412526,102.98632049560547,mse
31,148.63437902624324,110.1556625366211,mse
32,145.33131259199925,130.7120819091797,mse
33,143.68272897550617,106.20146942138672,mse
34,138.99197263826252,108.0247573852539,mse
35,134.76262991509196,123.24384307861328,mse
36,134.55995812506998,123.16311645507812,mse
37,133.76967682664173,118.30438995361328,mse
