iteration,train,valid,metric
1,378.2304171079008,458.547607421875,mse
2,333.1599418957031,351.9842529296875,mse
3,311.1630597652772,295.4588623046875,mse
4,295.8072617178091,253.52732849121094,mse
5,282.8901422104179,223.85496520996094,mse
6,273.794146640978,197.21929931640625,mse
7,262.1427127523269,178.12994384765625,mse
8,252.3813158209925,161.0918731689453,mse
9,244.29160405865522,151.94500732421875,mse
10,237.03526503138906,137.1866912841797,mse
11,229.424189810282,129.8751983642578,mse
12,222.6031455387109,124.38176727294922,mse
13,216.78149329577334,123.94462585449219,mse
14,209.5909120163454,121.828125,mse
15,204.27707163220808,103.14936828613281,mse
16,197.1697663590312,95.70384979248047,mse
17,193.08125924896765,97.50638580322266,mse
18,187.95726940329425,95.48645782470703,mse
19,184.06114805366656,106.12667846679688,mse
20,179.910863893296,99.05078125,mse
21,174.86531075740518,88.44019317626953,mse
22,169.51280026081002,89.81108093261719,mse
23,165.3352496763849,85.69428253173828,mse
24,160.83590398327905,106.08656311035156,mse
25,157.26545909735358,80.09236907958984,mse
26,151.6901844678352,108.735595703125,mse
27,148.72129738015138,121.67611694335938,mse
28,147.2434399866704,122.55087280273438,mse
29,144.10871265396096,101.0912094116211,mse
30,141.77659947264118,120.555419921875,mse
31,137.5068305775965,105.02487182617188,mse
32,133.81436509678488,127.79520416259766,mse
33,130.52560308029464,109.05575561523438,mse
34,131.60111937349882,154.18882751464844,mse
35,127.50387257261802,112.11957550048828,mse
