iteration,train,valid,metric
1,1.0267407966071163,1.052104115486145,cross_entropy
2,0.9873649790369231,1.0750683546066284,cross_entropy
3,0.9713740877036391,1.0342248678207397,cross_entropy
4,0.957734286990659,1.010646104812622,cross_entropy
5,0.9554616371105458,1.0109968185424805,cross_entropy
6,0.9447870199022622,0.9961344599723816,cross_entropy
7,0.9379966084299416,1.0016310214996338,cross_entropy
8,0.930952106673142,1.0246834754943848,cross_entropy
9,0.9277402296148497,1.0162478685379028,cross_entropy
10,0.9187391527767839,1.045202374458313,cross_entropy
11,0.9150238462563218,1.01210355758667,cross_entropy
12,0.9165447681114591,1.068919062614441,cross_entropy
13,0.9069266707732759,1.0444352626800537,cross_entropy
14,0.8993728802121919,1.0498690605163574,cross_entropy
15,0.8963280484594148,1.0618573427200317,cross_entropy
16,0.894482552594152,1.0266932249069214,cross_entropy
