iteration,train,valid,metric
1,28427.167059580486,54213.0,mse
2,28291.055022239685,54083.27734375,mse
3,28180.88252957662,53950.59375,mse
4,28099.064463933308,53830.984375,mse
5,28007.50622208913,53731.25390625,mse
6,27921.061581929524,53643.08984375,mse
7,27889.16494687398,53558.12109375,mse
8,27833.15537770589,53478.3203125,mse
9,27817.675374348957,53403.06640625,mse
10,27770.124736150105,53333.0234375,mse
11,27717.88018163045,53266.8671875,mse
12,27669.365023295086,53204.18359375,mse
13,27658.54106648763,53144.08203125,mse
14,27616.407953898113,53086.12890625,mse
15,27576.459433237713,53030.03125,mse
16,27548.931845347088,52974.859375,mse
17,27516.907141367596,52920.98046875,mse
18,27454.303994496662,52868.32421875,mse
19,27425.655828475952,52816.77734375,mse
20,27376.096974054974,52765.828125,mse
21,27357.67076365153,52715.12890625,mse
22,27312.590717315674,52665.59375,mse
23,27271.82485453288,52616.67578125,mse
24,27232.92150815328,52568.328125,mse
25,27211.2202650706,52520.76953125,mse
26,27168.92169825236,52473.56640625,mse
27,27149.84075609843,52426.56640625,mse
28,27084.985325495403,52379.8828125,mse
29,27060.725891749065,52332.94140625,mse
30,26977.12786801656,52286.4765625,mse
31,26989.063067118328,52240.421875,mse
32,26962.852996826172,52194.625,mse
33,26893.812838872273,52149.015625,mse
34,26847.985595703125,52102.51953125,mse
35,26841.77160135905,52055.16796875,mse
36,26827.661387761433,52007.85546875,mse
37,26756.34858862559,51960.6796875,mse
38,26719.293154080708,51912.22265625,mse
39,26741.54879315694,51864.26953125,mse
40,26664.571365038555,51816.94140625,mse
41,26608.35053539276,51769.44921875,mse
42,26584.08376566569,51721.78515625,mse
43,26534.031656901043,51674.2265625,mse
44,26533.602563540142,51626.890625,mse
45,26539.736633936565,51580.25390625,mse
46,26408.184052785236,51534.27734375,mse
47,26344.404782613117,51488.01953125,mse
48,26384.733339627583,51441.33984375,mse
49,26328.687122980755,51395.0,mse
50,26314.974298159283,51348.96875,mse
51,26294.09018611908,51303.0546875,mse
52,26299.31288210551,51257.52734375,mse
53,26166.571906089783,51212.3046875,mse
54,26280.833870251972,51166.87109375,mse
55,26197.49998474121,51122.1484375,mse
56,26124.784832000732,51077.58203125,mse
57,26143.295051256817,51032.046875,mse
58,26041.472379366558,50986.37890625,mse
59,26039.42379919688,50940.59375,mse
60,26024.133855183918,50895.0234375,mse
61,25994.513509432476,50849.77734375,mse
62,25917.15669473012,50804.69140625,mse
63,25929.46500269572,50759.87890625,mse
64,25857.74810663859,50715.28515625,mse
65,25865.296184062958,50670.32421875,mse
66,25800.56297047933,50625.5,mse
67,25764.525993347168,50580.65625,mse
68,25806.757791837055,50536.3046875,mse
69,25733.281657536823,50492.6171875,mse
70,25713.96581141154,50449.078125,mse
71,25651.512448310852,50405.25390625,mse
72,25666.60199912389,50360.8984375,mse
73,25620.07033920288,50317.109375,mse
74,25662.782764116924,50273.8515625,mse
75,25524.730587323505,50231.03515625,mse
76,25537.62150367101,50188.1484375,mse
77,25527.738704363506,50145.203125,mse
78,25491.479851086933,50102.37109375,mse
79,25406.457646052044,50059.453125,mse
80,25408.425402959187,50016.37890625,mse
81,25370.05120897293,49973.6484375,mse
82,25308.48191022873,49931.29296875,mse
83,25337.029495875042,49888.81640625,mse
84,25310.005421797436,49846.82421875,mse
85,25214.470878601074,49804.81640625,mse
86,25188.658683776855,49762.484375,mse
87,25262.81238079071,49720.16796875,mse
88,25196.899049599964,49678.15625,mse
89,25142.072311719257,49636.453125,mse
90,25157.61739563942,49594.58203125,mse
91,25111.316612879436,49552.94140625,mse
92,25071.328162829082,49511.6171875,mse
93,25082.363908608753,49470.390625,mse
94,24991.24881005287,49429.296875,mse
95,24998.540874640148,49387.67578125,mse
96,24970.797689914703,49346.20703125,mse
97,24917.397241751354,49304.70703125,mse
98,24943.285393794376,49263.2421875,mse
99,24818.964841047924,49221.78515625,mse
100,24951.03839524587,49180.5078125,mse
