iteration,train,valid,metric
1,28368.929711341858,54196.546875,mse
2,28287.43810780843,54098.78515625,mse
3,28228.023478190105,54015.359375,mse
4,28167.048789660137,53936.19140625,mse
5,28092.46421782176,53858.27734375,mse
6,28041.592969258625,53777.84375,mse
7,27981.297646522522,53688.7734375,mse
8,27926.666407903034,53586.93359375,mse
9,27859.013276735943,53475.453125,mse
10,27810.30516211192,53377.3046875,mse
11,27753.42953713735,53295.23046875,mse
12,27721.052848815918,53218.7265625,mse
13,27645.4135723114,53144.1796875,mse
14,27617.325165430706,53069.796875,mse
15,27574.150615056355,52997.44140625,mse
16,27490.465218861897,52923.671875,mse
17,27454.04465230306,52851.24609375,mse
18,27426.488119443256,52783.92578125,mse
19,27364.042956670124,52718.82421875,mse
20,27329.85084279378,52658.1796875,mse
21,27268.641984621685,52599.859375,mse
22,27224.694796244305,52544.14453125,mse
23,27188.62235546112,52491.5,mse
24,27187.269662857056,52441.80859375,mse
25,27166.763420740765,52393.46875,mse
26,27099.653705596924,52343.6015625,mse
27,27042.771100680035,52293.1171875,mse
28,27011.478855133057,52244.3515625,mse
29,26952.685070673626,52197.48046875,mse
30,26916.618077278137,52150.91015625,mse
31,26915.13630803426,52105.625,mse
32,26819.87502702077,52060.41015625,mse
33,26798.71960894267,52015.921875,mse
34,26784.88024012248,51974.140625,mse
35,26702.397157669067,51935.390625,mse
36,26713.643782933552,51898.17578125,mse
37,26609.71919965744,51861.8671875,mse
38,26650.04539378484,51826.09375,mse
39,26595.90180714925,51789.609375,mse
40,26539.87622674306,51749.08203125,mse
41,26446.95326900482,51705.859375,mse
42,26490.800343990326,51660.68359375,mse
43,26482.344750563305,51612.01953125,mse
44,26428.418565114338,51560.87890625,mse
45,26363.039622624714,51509.859375,mse
46,26303.73241488139,51458.078125,mse
47,26249.62602074941,51404.8203125,mse
48,26241.97713804245,51351.65625,mse
49,26237.754924933117,51302.54296875,mse
50,26205.969445546467,51257.15234375,mse
51,26188.715595881145,51209.8203125,mse
52,26129.537056763966,51159.7421875,mse
53,26138.649932861328,51110.31640625,mse
54,26092.6798508962,51062.25,mse
55,26008.661889712017,51014.19140625,mse
56,25991.892369747162,50965.703125,mse
57,25916.35804971059,50918.75,mse
58,25878.768286387127,50871.05078125,mse
59,25898.934385299683,50823.73046875,mse
60,25821.97469854355,50779.45703125,mse
61,25802.461438179016,50737.3046875,mse
62,25834.516565799713,50695.64453125,mse
63,25683.919798374176,50654.65234375,mse
64,25695.34074942271,50613.6484375,mse
65,25631.62083721161,50572.203125,mse
66,25583.139645894367,50530.14453125,mse
67,25610.81829071045,50488.90625,mse
68,25646.731658299763,50449.078125,mse
69,25587.47019990285,50409.328125,mse
70,25542.209318637848,50368.85546875,mse
71,25520.726474444073,50328.828125,mse
72,25528.50365606944,50288.234375,mse
73,25463.066371917725,50248.3046875,mse
74,25411.834233601887,50208.2265625,mse
75,25482.77771313985,50168.8984375,mse
76,25347.230173428852,50130.0,mse
77,25304.69386768341,50090.90234375,mse
78,25323.0360472997,50050.3828125,mse
79,25309.97482919693,50010.81640625,mse
80,25142.26476573944,49970.1171875,mse
81,25217.22484477361,49928.83203125,mse
82,25187.62104479472,49887.34375,mse
83,25221.020145893097,49845.87109375,mse
84,25135.52137851715,49806.46875,mse
85,25139.89277299245,49766.4296875,mse
86,25021.679199854534,49725.90625,mse
87,25064.306462287903,49686.296875,mse
88,24983.606213092804,49647.57421875,mse
89,24980.69240109126,49610.3515625,mse
90,24946.48396428426,49572.50390625,mse
91,24893.8614303271,49534.484375,mse
92,24944.954715569813,49496.37109375,mse
93,24886.940107981365,49458.6796875,mse
94,24815.83069864909,49420.828125,mse
95,24825.047701040905,49383.45703125,mse
96,24797.025623321533,49344.76953125,mse
97,24778.936807950337,49304.35546875,mse
98,24702.234103838604,49264.91015625,mse
99,24676.73716100057,49226.69921875,mse
100,24640.351644674938,49188.57421875,mse
