iteration,train,valid,metric
1,28343.813526153564,54111.62109375,mse
2,28160.57565466563,53784.41796875,mse
3,27833.002235889435,53163.21484375,mse
4,27238.3187734286,52138.83984375,mse
5,26287.764130274456,50576.00390625,mse
6,24878.540414174397,48322.55859375,mse
7,22915.34617360433,45273.08203125,mse
8,20584.079566955566,41417.3515625,mse
9,17589.381139119465,36933.82421875,mse
10,14398.378926595053,32271.783203125,mse
11,11289.841318766275,28204.384765625,mse
12,8067.640289306641,25661.953125,mse
13,7490.431294759114,25215.90234375,mse
14,5727.524749755859,26480.66015625,mse
15,6153.305114746094,27863.82421875,mse
16,5680.9848225911455,28088.12890625,mse
17,5483.182108561198,27809.77734375,mse
18,5627.636830647786,27531.05078125,mse
19,5275.7747802734375,27430.427734375,mse
20,5076.910257975261,27492.052734375,mse
21,4625.9317626953125,27656.658203125,mse
22,4432.163564046224,28230.55859375,mse
23,4971.4709879557295,28687.33984375,mse
