iteration,train,valid,metric
1,10878.142938941717,48449.875,mse
2,10806.54486899823,48278.9453125,mse
3,10740.879178622738,48105.65234375,mse
4,10680.367365255952,47952.02734375,mse
5,10630.094935789704,47834.71875,mse
6,10594.81888666749,47739.71484375,mse
7,10567.073783874512,47658.2421875,mse
8,10532.428036868572,47585.640625,mse
9,10511.763915538788,47519.796875,mse
10,10500.017008841038,47458.671875,mse
11,10469.422186017036,47401.07421875,mse
12,10452.88851237297,47345.91796875,mse
13,10418.747542500496,47292.57421875,mse
14,10411.792569756508,47240.60546875,mse
15,10390.784272909164,47190.60546875,mse
16,10358.669668793678,47141.3671875,mse
17,10344.914539933205,47092.77734375,mse
18,10335.985636353493,47045.15234375,mse
19,10314.654946446419,46998.8671875,mse
20,10275.918895602226,46952.66796875,mse
21,10251.833852887154,46906.25,mse
22,10245.00305044651,46859.70703125,mse
23,10217.54538500309,46813.6171875,mse
24,10197.088039278984,46767.890625,mse
25,10182.128169417381,46722.39453125,mse
26,10154.540815770626,46676.8515625,mse
27,10153.5840280056,46631.0546875,mse
28,10141.921920239925,46586.05859375,mse
29,10110.640815734863,46541.78515625,mse
30,10080.374434649944,46497.74609375,mse
31,10094.695148050785,46453.515625,mse
32,10050.412659585476,46409.55078125,mse
33,10036.10023623705,46365.31640625,mse
34,10028.255007624626,46321.07421875,mse
35,9996.690979987383,46276.890625,mse
36,10000.04930126667,46233.03125,mse
37,9955.522546112537,46190.0234375,mse
38,9959.16073167324,46146.76953125,mse
39,9922.633316114545,46103.515625,mse
40,9919.053149700165,46060.03515625,mse
41,9888.446700155735,46016.80859375,mse
42,9881.113992795348,45973.7578125,mse
43,9877.192056417465,45931.359375,mse
44,9861.966395840049,45889.0546875,mse
45,9816.254202082753,45846.91015625,mse
46,9820.916682623327,45804.421875,mse
47,9793.988173760474,45762.4765625,mse
48,9804.420132368803,45720.765625,mse
49,9771.245274953544,45679.19140625,mse
50,9763.487813331187,45637.890625,mse
51,9739.997568145394,45596.62109375,mse
52,9705.091846928,45555.140625,mse
53,9728.550493121147,45513.9453125,mse
54,9678.348389737308,45473.15625,mse
55,9680.043356969953,45432.484375,mse
56,9661.19818213582,45391.6484375,mse
57,9645.97936539352,45351.21484375,mse
58,9596.23559640348,45310.66015625,mse
59,9619.214445315301,45269.71484375,mse
60,9588.087796978652,45229.12890625,mse
61,9597.055957637727,45188.5703125,mse
62,9551.896647885442,45148.19921875,mse
63,9549.214298270643,45107.9453125,mse
64,9535.058743670583,45067.92578125,mse
65,9505.788514181972,45028.08203125,mse
66,9483.574086479843,44988.46484375,mse
67,9487.584863089025,44948.89453125,mse
68,9450.975938819349,44909.46875,mse
69,9447.304014459252,44869.67578125,mse
70,9434.322203569114,44830.15625,mse
71,9393.89423558116,44790.96484375,mse
72,9444.020263276994,44751.65625,mse
73,9387.321912761778,44713.26953125,mse
74,9407.223611369729,44674.97265625,mse
75,9379.208821229637,44636.82421875,mse
76,9347.66066531837,44598.76953125,mse
77,9347.124726809561,44561.265625,mse
78,9310.228872515261,44523.98046875,mse
79,9301.153949797153,44485.47265625,mse
80,9342.236668750644,44447.41796875,mse
81,9279.232632890344,44410.265625,mse
82,9255.3385810107,44373.15625,mse
83,9262.191819876432,44335.765625,mse
84,9243.709548655897,44299.0078125,mse
85,9240.815525993705,44262.53515625,mse
86,9202.59449505061,44226.1171875,mse
87,9249.24652210623,44189.66015625,mse
88,9195.208754464984,44154.109375,mse
89,9190.858398079872,44118.4765625,mse
90,9138.145984604955,44082.5078125,mse
91,9143.73598048836,44045.84375,mse
92,9126.67474039644,44010.28515625,mse
93,9088.760268479586,43973.26953125,mse
94,9120.801197618246,43935.09375,mse
95,9070.417128540576,43898.70703125,mse
96,9046.46330613643,43863.27734375,mse
97,9077.318530485034,43825.80078125,mse
98,9004.484487742186,43789.26953125,mse
99,9027.744687661529,43752.95703125,mse
100,9030.743025243282,43715.94921875,mse
