iteration,train,valid,metric
1,10850.469800744788,48390.453125,mse
2,10799.63548540324,48271.390625,mse
3,10762.613678159192,48173.43359375,mse
4,10724.639622367918,48092.5546875,mse
5,10692.282790184487,48007.22265625,mse
6,10660.363518696278,47908.8984375,mse
7,10625.127552725608,47807.37890625,mse
8,10576.858329775976,47700.34375,mse
9,10552.14817587845,47587.15625,mse
10,10519.483638446778,47494.01953125,mse
11,10481.251599176787,47405.71875,mse
12,10441.342432487523,47317.859375,mse
13,10416.389632222941,47236.546875,mse
14,10385.963993916695,47164.046875,mse
15,10367.268108911696,47098.46875,mse
16,10332.955447322107,47037.8515625,mse
17,10317.539814078016,46980.16796875,mse
18,10284.598732903542,46924.953125,mse
19,10262.505821128376,46869.6015625,mse
20,10244.67449347733,46813.09375,mse
21,10203.35363058513,46759.20703125,mse
22,10193.558807246038,46707.7421875,mse
23,10166.440129402094,46658.26953125,mse
24,10156.931898056297,46609.953125,mse
25,10118.676457189722,46562.9296875,mse
26,10093.47619695682,46517.03515625,mse
27,10090.601072387304,46472.32421875,mse
28,10051.132619919721,46427.21484375,mse
29,10030.94734701747,46380.96484375,mse
30,10036.745541436598,46336.92578125,mse
31,10018.6233312767,46295.5078125,mse
32,10004.601300587878,46254.52734375,mse
33,9972.867065427825,46213.2578125,mse
34,9941.408218599856,46171.26953125,mse
35,9945.246987348422,46129.59375,mse
36,9937.233920617029,46088.91796875,mse
37,9911.945192892104,46047.8671875,mse
38,9891.918619137257,46005.921875,mse
39,9859.39644051902,45964.42578125,mse
40,9847.608840782195,45922.7265625,mse
41,9827.355474557728,45881.94921875,mse
42,9804.839955773205,45841.796875,mse
43,9797.52866275236,45802.82421875,mse
44,9763.094450471923,45763.45703125,mse
45,9760.674258042127,45724.10546875,mse
46,9718.978303639218,45684.69921875,mse
47,9738.107317894697,45644.62890625,mse
48,9709.496142601594,45605.09765625,mse
49,9708.470230901614,45565.28515625,mse
50,9673.82264753338,45525.6953125,mse
51,9656.431998947635,45486.16015625,mse
52,9638.075572537258,45445.671875,mse
53,9645.406373105943,45406.07421875,mse
54,9609.137466954067,45366.8671875,mse
55,9618.3881127825,45327.6953125,mse
56,9574.327074862085,45288.8046875,mse
57,9571.065893310122,45249.3046875,mse
58,9540.210375141352,45210.23046875,mse
59,9543.447525280528,45171.203125,mse
60,9521.68416206818,45131.71875,mse
61,9524.958593282849,45093.00390625,mse
62,9499.51329584606,45054.44140625,mse
63,9481.298463083804,45016.55859375,mse
64,9468.012670305558,44979.453125,mse
65,9454.845494536683,44942.62890625,mse
66,9411.097113418393,44904.828125,mse
67,9408.182846891694,44866.41015625,mse
68,9379.915589612909,44829.015625,mse
69,9370.632026133128,44793.671875,mse
70,9365.25927689299,44756.9921875,mse
71,9361.094516213983,44720.70703125,mse
72,9344.96515554376,44690.16796875,mse
73,9326.59477461502,44645.4453125,mse
74,9312.318980999291,44600.109375,mse
75,9298.725657224655,44563.04296875,mse
76,9264.294342095032,44527.59375,mse
77,9237.913123736158,44492.65625,mse
78,9243.210282856598,44458.453125,mse
79,9238.647611513734,44419.47265625,mse
80,9255.326364528388,44383.97265625,mse
81,9180.892806705087,44347.3671875,mse
82,9189.17672584951,44309.96875,mse
83,9147.793189942837,44274.87109375,mse
84,9149.762982554734,44239.9921875,mse
85,9112.653360582888,44208.15625,mse
86,9109.482410233468,44174.46484375,mse
87,9110.517723780125,44137.28515625,mse
88,9101.356803169474,44103.27734375,mse
89,9071.127815736458,44064.12109375,mse
90,9069.648510800675,44023.890625,mse
91,9033.845355991274,43982.57421875,mse
92,9032.838647840545,43941.875,mse
93,9023.957810377702,43905.50390625,mse
94,9033.669903414324,43864.94140625,mse
95,9044.891931457445,43822.59375,mse
96,9001.017864964902,43783.97265625,mse
97,8993.303857179359,43746.99609375,mse
98,8948.169722538441,43713.33984375,mse
99,8961.977071419358,43680.375,mse
100,8933.50045145303,43645.3828125,mse
