iteration,train,valid,metric
1,10826.714024115237,48237.015625,mse
2,10640.012787193991,47572.26953125,mse
3,10219.790680360049,46291.94921875,mse
4,9560.27145910263,44134.89453125,mse
5,8408.187332361937,41087.859375,mse
6,7096.316868066788,37592.5234375,mse
7,5712.075786352158,34493.8046875,mse
8,4743.043588399887,32539.583984375,mse
9,4233.968285560608,31348.91015625,mse
10,4134.838819503784,29948.708984375,mse
11,3568.9688353538513,28397.689453125,mse
12,3267.4478993415833,27105.083984375,mse
13,2917.770121574402,26090.8515625,mse
14,2624.5140523910522,25281.49609375,mse
15,2518.034300804138,24672.666015625,mse
16,2494.110567331314,24309.638671875,mse
17,2252.0462804436684,24065.115234375,mse
18,2145.2029034793377,23980.55078125,mse
19,2118.983768105507,23996.828125,mse
20,2117.3694409132004,23987.828125,mse
21,2150.5508838295937,24005.3984375,mse
22,1905.2907038629055,23961.4765625,mse
23,1978.3106793165207,23975.1640625,mse
24,1929.7140800058842,23938.837890625,mse
25,1889.7891933321953,23770.271484375,mse
26,1600.5440626740456,23718.435546875,mse
27,1691.6429389715195,23698.30078125,mse
28,1903.1186769008636,23410.12109375,mse
29,1631.3523551225662,23335.064453125,mse
30,1685.9846019744873,23469.611328125,mse
31,1671.1359939575195,23426.685546875,mse
32,1690.4069299697876,23239.59765625,mse
33,1386.7459633350372,23083.052734375,mse
34,1679.1557800769806,23035.642578125,mse
35,1425.4552054405212,22994.4140625,mse
36,1523.213475227356,22903.205078125,mse
37,1407.5165011882782,23041.767578125,mse
38,1472.0257639884949,22853.033203125,mse
39,1811.7724083662033,22566.109375,mse
40,1530.3926494121552,22633.2734375,mse
41,1828.0391640663147,22929.408203125,mse
42,1669.3028662204742,23243.048828125,mse
43,1673.3443055152893,23281.037109375,mse
44,1543.8134536743164,23057.212890625,mse
45,1526.550287246704,23133.044921875,mse
46,1403.9986209869385,23239.47265625,mse
47,1347.5048880577087,23496.2265625,mse
48,1421.4912309646606,23276.458984375,mse
49,1425.7277569770813,22610.06640625,mse
