iteration,train,valid,metric
1,1006.1667973548174,662.0582885742188,mse
2,985.5624927156605,637.4727783203125,mse
3,967.395524488762,613.1839599609375,mse
4,950.8607496470213,592.4315795898438,mse
5,936.7842783480883,575.8212280273438,mse
6,929.1088900864124,561.9473876953125,mse
7,919.4344396591187,550.75732421875,mse
8,916.0601741075516,541.3038940429688,mse
9,912.0651528835297,533.2186279296875,mse
10,903.1861600875854,525.7846069335938,mse
11,899.0483161211014,518.4282836914062,mse
12,890.8327063918114,511.3847351074219,mse
13,890.9006510972977,504.490234375,mse
14,883.933112859726,497.9692077636719,mse
15,880.0573090314865,491.7639465332031,mse
16,874.0955055952072,485.8576354980469,mse
17,868.516731262207,480.2105712890625,mse
18,861.6052072048187,474.71429443359375,mse
19,858.8462916016579,469.3206787109375,mse
20,854.5280223488808,464.1994323730469,mse
21,846.57002389431,459.25872802734375,mse
22,843.6734161376953,454.2996520996094,mse
23,837.4306643605232,449.4140930175781,mse
24,834.7230203747749,444.5429382324219,mse
25,833.0741626620293,439.71246337890625,mse
26,826.9436601996422,434.9771728515625,mse
27,822.1432185173035,430.33587646484375,mse
28,820.7928595691919,425.6904602050781,mse
29,807.6773457974195,421.0801086425781,mse
30,804.9251070767641,416.4503479003906,mse
31,806.0750595927238,411.8397216796875,mse
32,801.9473312571645,407.4123229980469,mse
33,798.0481236129999,403.124755859375,mse
34,788.8930377289653,398.9056091308594,mse
35,794.7106885835528,394.7137451171875,mse
36,793.3822360001504,390.5798645019531,mse
37,780.0873843207955,386.5377197265625,mse
38,782.7727965936065,382.4908142089844,mse
39,781.083721190691,378.5408020019531,mse
40,772.4554892964661,374.69903564453125,mse
41,769.2100907117128,370.9318542480469,mse
42,766.1620158925653,367.1822509765625,mse
43,764.4052811199799,363.5797119140625,mse
44,767.7935429830104,360.0823974609375,mse
45,752.4266060888767,356.6116027832031,mse
46,756.4874680265784,353.0801086425781,mse
47,752.3742634430528,349.6541442871094,mse
48,747.1340619195253,346.2888488769531,mse
49,750.4389183036983,342.99664306640625,mse
50,746.9289670661092,339.86383056640625,mse
51,736.9605340398848,336.77655029296875,mse
52,735.2820391207933,333.6974792480469,mse
53,733.4136148486286,330.7644348144531,mse
54,731.2562920227647,327.9495544433594,mse
55,730.3996090479195,325.168701171875,mse
56,722.2739813346416,322.3599853515625,mse
57,718.5146687738597,319.61383056640625,mse
58,715.5914999991655,316.9505615234375,mse
59,717.0205091238022,314.15142822265625,mse
60,708.1215405091643,311.3935241699219,mse
61,714.7038427591324,308.6833190917969,mse
62,712.4978718888015,306.2908935546875,mse
63,696.076240580529,304.0386962890625,mse
64,704.546219676733,301.6702880859375,mse
65,703.0664795041084,299.0963439941406,mse
66,694.6120934598148,296.5019836425781,mse
67,693.0499659068882,293.8546142578125,mse
68,688.3891855627298,291.3817138671875,mse
69,689.1687810309231,289.0823669433594,mse
70,685.1428772155195,286.9115295410156,mse
71,685.3439637050033,284.5467224121094,mse
72,674.7803749069571,282.145751953125,mse
73,674.8013503961265,279.8404846191406,mse
74,670.3469250239432,277.667724609375,mse
75,675.6958613246679,275.5636291503906,mse
76,671.1846386343241,273.6329650878906,mse
77,668.9552002809942,271.5939025878906,mse
78,665.2253111749887,269.5940856933594,mse
79,660.0175244603306,267.7347412109375,mse
80,663.2978448793292,265.6195373535156,mse
81,653.5763636752963,263.7138977050781,mse
82,651.0983321331441,261.9560241699219,mse
83,657.6318226084113,260.4132385253906,mse
84,651.2479688376188,258.3837585449219,mse
85,644.8416990451515,256.386962890625,mse
86,650.5214660316706,254.60963439941406,mse
87,644.6065741293132,253.1713104248047,mse
88,642.2473550513387,251.43606567382812,mse
89,641.6845875158906,249.58766174316406,mse
90,633.3922435641289,247.93865966796875,mse
91,636.6872329264879,246.36004638671875,mse
92,627.8967125304043,244.57958984375,mse
93,631.2173819877207,242.88641357421875,mse
94,631.2498833946884,241.30174255371094,mse
95,640.1420910712332,239.33261108398438,mse
96,636.1342021971941,238.19607543945312,mse
97,618.5408313646913,236.8013916015625,mse
98,622.5215077623725,235.15383911132812,mse
99,621.8783641755581,233.6958770751953,mse
100,617.8874129951,231.84268188476562,mse
