iteration,train,valid,metric
1,994.5412027428392,642.2574462890625,mse
2,980.4044897118583,629.0377807617188,mse
3,971.0785328107886,614.4193725585938,mse
4,960.862789234845,600.4048461914062,mse
5,953.1803482705727,587.7079467773438,mse
6,943.5957167290617,575.2761840820312,mse
7,936.3317335887114,562.71435546875,mse
8,924.2047374325339,548.9984741210938,mse
9,919.4593591038138,536.0905151367188,mse
10,913.0213763760403,523.690185546875,mse
11,903.7767019558232,512.0353393554688,mse
12,894.6257270704955,501.083984375,mse
13,883.9407428596169,490.77154541015625,mse
14,880.9534442033619,480.7689208984375,mse
15,867.4002583678812,471.9178466796875,mse
16,858.3444583949167,463.803955078125,mse
17,855.1547995356377,455.84661865234375,mse
18,851.1475324570201,448.45709228515625,mse
19,843.4006469585001,441.9524841308594,mse
20,840.4156763851643,435.2392883300781,mse
21,831.129748981446,428.7291564941406,mse
22,823.2746759634465,422.8079833984375,mse
23,821.4345361478627,417.259765625,mse
24,815.4185477099381,412.0769958496094,mse
25,816.2197470394894,407.1536560058594,mse
26,807.5165976816788,402.4396667480469,mse
27,803.6305869631469,397.8399658203125,mse
28,799.4432193636894,393.34576416015625,mse
29,802.4004366840236,388.9681396484375,mse
30,792.0227274480276,384.7512512207031,mse
31,791.3549107150175,380.5704345703125,mse
32,780.8113483535126,376.4720153808594,mse
33,780.2639925614931,372.4049072265625,mse
34,773.4956673313864,368.4146423339844,mse
35,774.9068841165863,364.4774169921875,mse
36,764.9480211003684,360.64630126953125,mse
37,767.2186866360717,356.8819885253906,mse
38,759.1873264536262,353.2212219238281,mse
39,758.9547062818892,349.62908935546875,mse
40,752.113578075543,346.1145324707031,mse
41,756.9897387591191,342.6727294921875,mse
42,748.59883142123,339.3376770019531,mse
43,747.1796624953859,336.034912109375,mse
44,739.4606515876949,332.8069152832031,mse
45,737.22252986487,329.6635437011719,mse
46,734.7791700023226,326.5987548828125,mse
47,733.9538105353713,323.54449462890625,mse
48,734.9008258529939,320.50140380859375,mse
49,730.1497549815103,317.580078125,mse
50,722.5825708215125,314.74359130859375,mse
51,720.6553625487722,311.971923828125,mse
52,713.6433703415096,309.2245788574219,mse
53,715.3053083214909,306.4697570800781,mse
54,715.127631819807,303.7398376464844,mse
55,710.7592235845514,301.068359375,mse
56,710.8376788913738,298.4356994628906,mse
57,706.818773472216,295.80462646484375,mse
58,696.2674624947831,293.264404296875,mse
59,700.9801429419313,290.7192077636719,mse
60,696.9988487968221,288.26800537109375,mse
61,690.2879511169158,285.7880554199219,mse
62,694.7916055275127,283.2043151855469,mse
63,683.1738007329404,280.6810607910156,mse
64,687.7746696530376,278.3396301269531,mse
65,687.5128752524033,276.0314025878906,mse
66,680.2713097524829,273.84417724609375,mse
67,681.1078817853704,271.6750793457031,mse
68,676.0965898353606,269.3298034667969,mse
69,678.3466856474988,267.1425476074219,mse
70,668.9655205900781,265.1574401855469,mse
71,671.8941486929543,263.2407531738281,mse
72,669.1718229246326,261.322998046875,mse
73,659.88594310591,259.2365417480469,mse
74,664.1149840741418,256.9852294921875,mse
75,655.3801656663418,254.85940551757812,mse
76,658.1302097113803,252.7071990966797,mse
77,660.543626521714,251.06053161621094,mse
78,649.7507240241393,249.35153198242188,mse
79,655.8393410523422,247.87525939941406,mse
80,653.8626123168506,244.8516845703125,mse
81,639.9527847045101,243.9051971435547,mse
82,645.6086525924038,241.52928161621094,mse
83,636.4211878243368,239.65321350097656,mse
84,640.3915550941601,237.73638916015625,mse
85,636.092997508822,236.2599334716797,mse
86,621.7994104903191,234.4266815185547,mse
87,635.7220333451405,232.62229919433594,mse
88,632.8382850633934,231.07052612304688,mse
89,639.099381639855,229.62051391601562,mse
90,623.7445499212481,227.9927520751953,mse
91,624.5950679937378,226.0953369140625,mse
92,619.832107170485,225.13818359375,mse
93,622.2843507877551,224.86526489257812,mse
94,618.8321549957618,226.74761962890625,mse
95,613.9234256017953,230.04229736328125,mse
96,614.7025115266442,224.53839111328125,mse
97,607.281508566346,223.05841064453125,mse
98,604.1608606628142,223.48912048339844,mse
99,605.0371134697925,226.37625122070312,mse
100,601.0461600343697,222.50491333007812,mse
