iteration,train,valid,metric
1,984.0320677594282,601.6439208984375,mse
2,924.1351207119878,481.2511901855469,mse
3,806.4885427989066,296.1321105957031,mse
4,643.235942658037,140.41795349121094,mse
5,475.335680924356,202.18836975097656,mse
6,381.3200712352991,511.5736083984375,mse
7,335.9771656692028,765.8936767578125,mse
8,332.95905527472496,794.957763671875,mse
9,285.9501978009939,738.243896484375,mse
10,265.7921728640795,729.8082885742188,mse
11,242.93791243433952,752.67919921875,mse
12,219.05277833342552,792.3351440429688,mse
13,209.78538066148758,825.9878540039062,mse
14,185.29094776138663,854.1461181640625,mse
